,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012
87,137,Kiribati,14.0,14.5,11.1,1.3,2.7,2.9,
88,0,Korea (Democratic People's Rep. of),7.7,10.4,9.8,10.2,11.8,15.9,16.0
89,18,Korea (Republic of),1.6,0.4,0.7,0.9,1.3,1.3,1.6
90,51,Kuwait,0.2,0.1,,,,,
91,120,Kyrgyzstan,7.9,35.0,35.2,28.0,25.6,26.0,22.5
92,138,Lao People's Democratic Republic,96.6,95.6,91.2,90.1,87.5,86.5,
93,44,Latvia,17.6,32.6,35.8,36.3,35.3,35.5,40.4
94,76,Lebanon,11.5,4.6,5.0,7.0,5.3,5.2,5.0
95,160,Lesotho,,,100.0,5.4,4.1,4.2,
96,177,Liberia,95.4,96.4,90.5,90.3,90.6,89.4,
97,102,Libya,3.1,2.2,2.0,1.8,1.6,2.3,1.7
98,37,Lithuania,3.1,10.3,17.2,17.8,21.7,23.1,24.3
99,20,Luxembourg,1.7,4.0,6.9,1.9,3.7,3.7,4.1
100,158,Madagascar,86.3,84.9,78.4,80.4,81.9,78.9,
101,170,Malawi,86.1,82.6,76.9,82.7,78.6,79.2,
102,59,Malaysia,13.5,10.6,8.2,6.6,6.0,6.5,6.8
103,105,Maldives,27.6,18.5,9.3,5.0,3.4,3.2,
104,175,Mali,88.2,87.6,85.6,86.2,83.9,83.9,
105,33,Malta,0.2,0.1,0.2,0.4,0.7,1.0,2.6
106,157,Mauritania,40.5,47.4,44.4,38.8,34.0,33.3,
107,64,Mauritius,25.7,22.2,7.8,6.4,3.8,3.4,
108,77,Mexico,14.2,13.6,12.4,10.7,10.0,9.6,9.4
109,107,Moldova (Republic of),1.1,2.8,5.7,4.3,4.2,4.4,4.7
110,92,Mongolia,1.9,3.0,5.7,5.7,3.8,3.5,3.2
111,48,Montenegro,,,,51.9,54.5,43.2,46.2
112,123,Morocco,19.5,17.2,15.3,13.4,13.4,11.8,11.3
113,181,Mozambique,93.1,92.8,92.5,92.6,89.9,88.9,88.4
114,145,Myanmar,90.9,85.2,80.2,79.8,85.0,84.5,78.7
115,125,Namibia,,32.6,34.2,36.5,32.8,33.4,32.9
116,144,Nepal,95.1,91.7,88.3,89.5,87.3,86.9,84.7
117,7,Netherlands,1.2,1.2,1.5,2.6,3.6,4.4,4.7
118,13,New Zealand,30.0,30.6,28.9,29.2,31.3,32.2,30.8
119,124,Nicaragua,68.8,64.5,58.4,53.9,51.9,51.5,53.1
120,187,Niger,86.7,88.1,93.9,90.6,80.1,81.3,
121,152,Nigeria,87.8,88.0,86.2,84.1,86.8,86.2,86.5
122,1,Norway,59.2,60.0,60.2,58.6,56.3,56.6,58.0
123,147,Pakistan,57.5,53.1,50.4,46.8,45.8,45.1,45.5
124,60,Palau,,,,2.9,2.8,2.7,
125,60,Panama,43.6,35.3,34.4,27.4,24.1,22.2,22.9
126,154,Papua New Guinea,70.2,70.8,66.4,58.6,54.1,53.4,
127,110,Paraguay,78.5,70.2,70.4,68.8,64.2,63.1,62.7
128,87,Peru,39.4,33.3,32.2,32.7,30.7,29.5,28.3
129,116,Philippines,50.9,38.9,34.8,31.4,28.8,29.4,29.4
130,36,Poland,2.5,6.3,6.9,7.2,9.5,10.6,11.1
131,41,Portugal,26.9,23.7,20.1,18.1,27.8,27.2,25.6
132,50,Romania,3.3,8.6,16.4,18.5,24.1,21.1,21.7
133,49,Russian Federation,3.8,3.9,3.5,3.6,3.3,3.2,3.2
134,159,Rwanda,84.3,88.8,89.3,89.2,90.7,86.8,
135,74,Saint Kitts and Nevis,67.4,52.8,23.3,19.5,,,
136,92,Saint Lucia,,,,2.6,2.4,2.3,
137,99,Saint Vincent and the Grenadines,15.4,9.1,8.5,5.8,5.2,5.1,
138,104,Samoa,100.0,100.0,49.5,29.6,26.5,23.2,
139,142,Sao Tome and Principe,71.5,54.7,54.8,48.0,43.8,43.2,
140,38,Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,162,Senegal,55.6,53.2,47.5,41.2,51.2,49.6,51.4
142,66,Serbia,15.5,25.0,23.6,16.4,20.7,17.7,19.6
143,63,Seychelles,7.4,4.7,0.6,0.4,0.4,0.5,
144,179,Sierra Leone,95.6,90.2,89.0,87.2,84.2,80.3,
145,5,Singapore,0.2,0.5,0.3,0.5,0.5,0.5,0.5
146,40,Slovakia,2.2,4.2,3.7,6.3,10.3,10.4,10.5
147,25,Slovenia,12.4,11.5,15.9,14.6,18.1,17.7,19.3
148,156,Solomon Islands,67.4,86.5,86.9,79.9,67.4,67.2,
149,0,Somalia,100.0,100.0,93.3,93.3,93.6,94.2,
150,119,South Africa,16.6,18.1,18.5,16.9,16.9,17.1,16.9
151,27,Spain,10.5,8.3,7.9,7.3,14.4,14.8,15.7
152,73,Sri Lanka,78.1,69.9,64.2,60.1,62.0,59.5,60.9
153,165,Sudan,73.3,81.5,80.4,72.4,61.4,64.0,64.0
154,97,Suriname,35.6,21.6,18.0,15.5,16.8,19.4,
155,148,Swaziland,84.3,88.4,46.8,39.1,39.4,39.5,
156,14,Sweden,34.1,33.9,40.0,40.0,46.0,46.5,49.9
157,2,Switzerland,16.8,17.9,18.4,19.0,21.2,21.3,22.7
158,149,Syrian Arab Republic,2.4,1.8,1.9,2.1,1.4,1.9,2.4
159,129,Tajikistan,29.6,60.6,62.4,63.7,62.1,60.3,58.0
160,151,Tanzania (United Republic of),94.8,93.4,93.7,91.0,90.1,89.6,88.2
161,87,Thailand,33.6,22.7,22.0,20.3,22.8,22.3,23.0
162,82,The former Yugoslav Republic of Macedonia,2.4,17.8,19.4,16.6,22.6,17.8,16.5
163,133,Timor-Leste,,,,49.2,,,
164,166,Togo,78.7,81.5,77.1,77.2,65.8,69.1,72.7
165,101,Tonga,100.0,1.0,2.5,2.2,1.0,1.1,
166,65,Trinidad and Tobago,1.2,1.2,0.8,0.5,0.3,0.4,0.3
167,97,Tunisia,14.5,14.4,14.2,14.2,14.3,13.4,13.0
168,71,Turkey,24.6,22.1,17.3,15.3,14.4,12.8,12.8
169,111,Turkmenistan,0.3,0.0,,,,,
170,163,Uganda,96.0,96.1,94.5,92.8,91.1,90.3,
171,84,Ukraine,0.7,1.0,1.3,1.3,2.9,2.7,2.8
172,42,United Arab Emirates,,0.1,0.1,0.1,0.1,0.1,0.1
