,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
58,23,Finland,12.7,11.4,9.5,10.6,9.2,8.7 hhhh,8.1 hhhh,7.6 hhhh,7.1 hhhh,6.5 hhh
59,21,France,13.7,11.0,9.8,10.8,10.0,9.8 hhhh,9.6 hhhh,9.4 hhhh,9.1 hhhh,8.9 hhh
60,109,Gabon,199.1,181.4,161.3,138.5,123.7,119.0 hhhh,114.2 hhhh,109.5 hhhh,104.7 hhhh,99.9 hhh
61,173,Gambia,179.2,153.2,133.6,117.2,116.0,115.4 hhhh,114.8 hhhh,114.2 hhhh,113.6 hhhh,113.0 hhh
62,70,Georgia,76.1,68.9,60.5,48.4,50.8,48.6 hhhh,46.3 hhhh,44.1 hhhh,41.9 hhhh,39.7 hhh
63,4,Germany,17.0,15.9,13.1,12.4,9.8,9.2 hhhh,8.5 hhhh,7.9 hhhh,7.3 hhhh,6.7 hhh
64,139,Ghana,118.0,103.9,87.1,77.4,71.0,70.1 hhhh,69.3 hhhh,68.5 hhhh,67.6 hhhh,66.8 hhh
65,29,Greece,29.1,17.3,11.6,10.5,11.7,10.8 hhhh,10.0 hhhh,9.1 hhhh,8.3 hhhh,7.5 hhh
66,79,Grenada,99.2,83.5,61.5,51.2,42.4,40.0 hhhh,37.7 hhhh,35.3 hhhh,32.9 hhhh,30.5 hhh
67,125,Guatemala,126.8,120.6,113.8,104.2,93.2,90.7 hhhh,88.2 hhhh,85.7 hhhh,83.2 hhhh,80.7 hhh
68,183,Guinea,181.3,180.3,174.4,165.3,155.4,152.4 hhhh,149.5 hhhh,146.5 hhhh,143.6 hhhh,140.6 hhh
69,178,Guinea-Bissau,132.1,138.3,134.4,127.3,122.3,115.8 hhhh,109.2 hhhh,102.6 hhhh,96.0 hhhh,89.5 hhh
70,127,Guyana,94.6,99.1,94.5,100.2,94.1,92.9 hhhh,91.6 hhhh,90.4 hhhh,89.2 hhhh,88.0 hhh
71,163,Haiti,78.3,69.9,61.8,52.5,46.4,45.0 hhhh,43.6 hhhh,42.1 hhhh,40.7 hhhh,39.3 hhh
