,HDI Rank,Country,2010,2011,2012,2013,2014,2015
100,123,Morocco,27.2,28.5,28.5,28.5,28.5,28.3
101,181,Mozambique,44.0,28.3,32.0,28.9,34.1,32.9
102,125,Namibia,40.2,39.1,39.1,39.3,39.3,33.4
103,144,Nepal,31.3,33.5,33.5,27.8,25.9,25.8
104,7,Netherlands,8.0,6.9,6.8,6.6,6.5,6.8
105,124,Nicaragua,24.2,26.9,26.9,25.8,23.7,25.4
106,187,Niger,33.1,33.3,33.3,31.8,28.4,27.5
107,152,Nigeria,40.7,38.9,41.2,40.2,37.5,37.5
108,1,Norway,6.5,5.5,6.2,5.5,5.3,5.4
109,147,Pakistan,30.0,29.9,29.5,28.7,28.6,29.6
110,114,"Palestine, State of",,,,11.7,14.9,15.1
111,60,Panama,25.4,23.6,23.6,21.4,21.7,21.0
112,110,Paraguay,24.4,23.7,,23.7,21.8,23.5
113,87,Peru,29.8,22.9,24.0,23.4,23.0,21.4
114,116,Philippines,18.6,19.6,19.6,18.0,17.9,18.2
115,36,Poland,10.6,9.6,9.7,9.7,9.6,9.3
116,41,Portugal,11.5,9.9,10.4,9.8,10.0,10.1
117,50,Romania,12.1,12.3,12.3,10.4,10.2,10.8
118,49,Russian Federation,11.5,11.3,,11.6,10.3,9.6
119,159,Rwanda,36.5,35.5,33.6,33.1,31.6,31.8
120,92,Saint Lucia,,,,,15.5,15.6
121,142,Sao Tome and Principe,,30.7,31.0,30.4,24.7,24.7
122,162,Senegal,35.3,33.2,32.3,32.3,34.0,32.5
123,66,Serbia,10.8,9.5,9.5,10.9,10.0,11.1
124,179,Sierra Leone,38.3,41.2,41.2,43.6,40.0,36.6
125,40,Slovakia,6.6,5.6,6.2,6.2,6.1,6.0
126,25,Slovenia,6.8,5.2,5.8,5.7,5.8,5.8
127,156,Solomon Islands,,,,23.8,23.8,23.8
128,119,South Africa,30.6,,,,33.0,32.0
129,27,Spain,9.5,8.8,9.8,10.5,11.0,10.1
130,73,Sri Lanka,17.0,16.0,14.9,14.2,11.6,11.5
131,97,Suriname,23.9,23.3,22.6,23.5,23.3,23.3
132,148,Swaziland,35.7,35.2,35.2,33.1,33.1,33.1
133,14,Sweden,6.8,5.8,6.1,6.4,6.6,6.6
134,2,Switzerland,6.9,6.8,6.8,7.6,7.3,8.4
135,149,Syrian Arab Republic,20.3,19.9,19.9,20.8,20.8,21.4
136,129,Tajikistan,18.6,17.3,18.1,18.8,16.9,14.9
137,151,Tanzania (United Republic of),27.9,28.6,27.2,26.9,27.2,25.4
138,87,Thailand,20.5,20.7,20.7,20.0,20.0,20.2
139,82,The former Yugoslav Republic of Macedonia,16.6,16.2,14.5,13.3,16.1,16.1
140,133,Timor-Leste,32.6,31.8,31.9,29.4,29.4,30.0
141,166,Togo,32.3,32.9,32.9,32.6,33.1,31.6
142,65,Trinidad and Tobago,15.3,15.0,15.0,15.0,15.0,15.1
143,97,Tunisia,24.4,24.4,,,21.4,21.9
144,71,Turkey,23.5,22.2,22.2,15.6,15.7,15.8
145,111,Turkmenistan,25.5,,,,,
146,163,Uganda,31.8,33.5,33.5,30.8,30.2,30.8
147,84,Ukraine,8.1,9.2,9.2,9.1,7.7,7.2
148,16,United Kingdom,9.3,8.1,8.1,8.6,8.4,7.8
149,10,United States,10.9,14.2,12.0,16.2,15.7,12.9
150,54,Uruguay,15.7,16.0,16.0,15.7,14.2,15.4
151,105,Uzbekistan,15.1,14.5,15.3,15.3,15.3,15.3
152,134,Vanuatu,,,,,17.1,17.2
153,71,Venezuela (Bolivarian Republic of),20.8,25.1,25.1,19.4,19.4,19.1
154,115,Viet Nam,16.4,14.0,14.0,14.9,17.4,17.7
155,168,Yemen,32.9,30.8,30.8,31.7,33.0,32.7
156,139,Zambia,30.5,28.8,36.1,34.5,33.8,34.7
157,154,Zimbabwe,29.6,28.4,28.1,26.8,26.7,28.1
158,,,,,,,,
