,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
64,12,"Hong Kong, China (SAR)",60.1,65.9,70.5,74.7,77.8,79.2,77.7,76.2,74.7,74.7 d
65,43,Hungary,47.9,74.8,88.7,94.1,98.5,98.7,98.7,98.8,97.9,97.9 d
66,9,Iceland,66.0,73.4,82.6,91.6,97.2,97.2,97.2,97.2,97.2,97.2 d
67,131,India,33.3,40.4,48.6,52.4,56.6,57.8,59.0,60.2,61.4,61.4 aaa
68,113,Indonesia,24.4,27.6,36.4,45.2,48.4,49.2,50.1,50.9,51.7,51.7 d
69,69,Iran (Islamic Republic of),36.2,43.8,54.7,66.7,64.7,66.0,67.3,70.2,70.2,70.2 d
70,121,Iraq,31.0,38.8,43.4,48.3,50.2,51.5,52.9,54.2,55.5,55.5 aaa
71,8,Ireland,58.3,64.8,67.9,69.1,78.0,78.6,80.4,82.2,82.2,82.2 d
72,19,Israel,70.1,71.5,73.6,73.0,86.5,87.0,87.3,89.8,90.3,90.3 d
73,26,Italy,55.7,63.4,69.0,74.6,79.0,79.8,80.5,83.3,83.3,83.3 d
74,94,Jamaica,32.0,45.0,54.0,54.1,54.2,54.2,55.9,57.7,59.4,59.4 d
75,17,Japan,68.2,74.5,79.3,82.8,85.8,87.0,88.2,89.4,90.6,90.6 d
76,86,Jordan,29.4,35.8,41.9,58.3,78.5,79.9,81.3,82.7,82.7,82.7 d
77,56,Kazakhstan,67.3,79.2,91.6,97.9,100.0,100.0,100.0,100.0,100.0,100.0 d
78,146,Kenya,23.4,27.4,32.2,36.2,31.4,32.1,32.8,33.5,34.1,34.1 d
79,18,Korea (Republic of),77.3,82.1,84.9,87.5,89.1,90.5,91.8,93.2,94.6,94.6 d
80,51,Kuwait,45.5,48.6,49.1,42.2,51.4,53.8,56.3,57.2,58.1,58.1 d
81,120,Kyrgyzstan,71.0,75.9,79.7,87.9,98.7,99.1,99.5,99.9,99.9,99.9 d
82,138,Lao People's Democratic Republic,18.9,23.4,27.8,32.1,37.0,38.5,39.9,41.4,42.8,42.8 aaa
83,44,Latvia,61.2,76.9,88.2,98.0,98.8,98.7,99.0,99.0,98.8,98.8 d
84,76,Lebanon,,,,,55.4,55.4,55.4,55.4,55.4,55.4 d
85,160,Lesotho,11.6,14.5,18.4,22.6,18.4,19.4,20.4,21.5,22.5,22.5 d
86,177,Liberia,30.2,33.6,35.5,37.5,39.3,39.4,39.5,39.6,39.7,39.7 aaa
87,102,Libya,27.6,32.7,38.3,40.5,41.9,42.5,43.0,43.6,44.2,44.2 aaa
88,37,Lithuania,74.8,80.9,85.8,91.1,93.9,94.5,94.3,94.9,95.6,95.6 d
89,20,Luxembourg,60.2,65.0,63.9,75.0,100.0,100.0,100.0,100.0,99.4,99.4 d
90,170,Malawi,9.8,10.8,13.2,14.6,21.6,22.3,22.9,23.6,24.2,24.2 d
91,59,Malaysia,46.5,55.7,58.8,49.9,71.3,73.3,75.2,77.1,79.1,79.1 d
92,105,Maldives,24.0,20.8,17.6,15.0,22.8,24.8,26.8,28.8,30.9,30.9 d
93,175,Mali,5.0,5.7,7.2,8.9,13.9,15.1,15.4,15.6,15.9,16.2 d
94,33,Malta,36.6,40.2,44.7,67.8,73.1,75.0,78.2,80.4,81.2,81.2 d
95,0,Marshall Islands,,,,,92.5,92.5,92.5,92.5,92.5,92.5 d
96,157,Mauritania,8.5,12.0,15.2,18.4,20.9,21.5,22.2,22.8,23.5,23.5 aaa
97,64,Mauritius,40.0,44.4,44.7,50.7,56.8,58.0,59.3,60.6,62.0,62.0 d
98,77,Mexico,33.9,41.6,43.3,49.6,54.8,57.7,60.6,58.5,59.0,59.0 d
99,107,Moldova (Republic of),75.9,80.9,84.9,91.5,95.7,96.3,96.6,96.9,97.3,97.3 d
100,92,Mongolia,75.3,78.9,82.8,83.5,84.1,84.5,85.0,85.4,85.8,85.8 d
101,48,Montenegro,,,89.0,91.6,94.1,94.7,95.2,95.7,96.2,96.2 d
102,123,Morocco,16.9,20.4,23.9,27.7,30.2,31.0,31.7,32.5,33.2,33.2 aaa
103,181,Mozambique,3.4,4.1,4.2,5.4,6.2,6.7,7.1,7.6,8.0,8.0 aaa
