,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014
72,107,Moldova (Republic of),,40.3,140.7,66.3,75.0,68.7,70.9,73.3,74.0
73,92,Mongolia,,37.2,84.8,56.5,89.9,100.6,135.6,159.6,186.2
74,48,Montenegro,,,3.3,18.6,39.3,51.9,68.8,67.1,52.9
75,123,Morocco,89.5,65.5,57.2,27.7,30.9,31.1,36.5,38.8,41.1
76,181,Mozambique,193.6,272.6,137.7,70.6,38.1,31.4,32.7,45.0,47.6
77,145,Myanmar,,,,,,,10.6,12.6,10.2
78,144,Nepal,44.7,54.7,52.2,39.1,23.5,20.1,20.5,21.1,20.0
79,124,Nicaragua,1111.3,280.9,139.1,81.0,82.4,83.4,88.3,92.8,88.8
80,187,Niger,71.4,86.1,95.0,57.8,27.3,35.2,34.1,34.7,32.1
81,152,Nigeria,120.1,129.5,80.5,26.0,4.4,4.5,4.3,4.4,4.9
82,147,Pakistan,49.3,49.4,45.1,30.4,34.8,29.3,26.3,24.6,23.9
83,60,Panama,132.2,83.3,60.0,56.5,37.7,40.2,38.0,39.4,43.9
84,154,Papua New Guinea,83.8,57.3,69.8,41.9,64.4,104.8,99.5,147.6,
85,110,Paraguay,,32.0,44.2,73.5,67.9,54.9,56.2,49.3,47.9
86,87,Peru,78.9,62.4,58.1,42.2,30.7,28.6,30.0,29.6,34.3
87,116,Philippines,70.2,51.5,61.6,45.2,24.6,24.7,23.4,20.5,22.7
88,50,Romania,3.0,19.4,30.4,40.4,71.1,66.6,73.0,67.4,57.0
89,159,Rwanda,28.0,79.5,75.0,59.8,16.0,19.1,17.8,22.9,26.1
90,92,Saint Lucia,21.4,24.6,30.2,48.2,48.1,35.5,33.9,36.2,39.2
91,99,Saint Vincent and the Grenadines,33.5,46.4,51.7,48.5,44.2,45.7,41.6,43.2,46.5
92,104,Samoa,,,51.7,38.3,51.1,50.1,55.1,58.6,58.1
93,142,Sao Tome and Principe,,,,278.4,90.1,93.1,77.2,69.6,63.9
94,162,Senegal,67.9,82.8,79.6,45.2,30.5,30.3,35.4,35.8,36.6
95,66,Serbia,,,177.0,62.3,85.4,69.9,87.6,83.4,78.7
96,179,Sierra Leone,202.9,149.0,196.8,111.7,35.7,34.6,32.7,30.9,28.4
97,156,Solomon Islands,58.1,49.5,35.9,40.3,46.5,38.3,24.5,19.4,17.0
98,0,Somalia,283.9,,,,,,,,
99,119,South Africa,,16.6,19.1,17.7,29.5,28.8,37.5,39.1,42.3
100,73,Sri Lanka,73.6,65.3,57.7,46.9,44.5,44.2,61.5,61.5,59.7
101,165,Sudan,129.7,137.9,136.6,71.7,36.7,32.8,36.2,35.3,30.6
102,148,Swaziland,20.8,12.9,16.7,16.6,21.4,18.4,13.9,14.6,13.8
103,149,Syrian Arab Republic,143.0,188.2,120.5,20.0,,,,,
104,129,Tajikistan,,53.6,138.4,50.2,55.4,51.2,49.2,45.5,44.3
105,151,Tanzania (United Republic of),157.8,143.7,71.0,60.7,30.0,30.9,31.0,30.4,30.1
106,87,Thailand,33.3,60.5,66.1,34.8,34.8,33.0,38.2,38.0,38.2
107,82,The former Yugoslav Republic of Macedonia,,29.0,40.0,48.5,55.6,59.5,67.7,64.2,65.7
108,166,Togo,80.1,116.6,114.3,81.1,46.5,19.7,22.6,24.4,24.5
109,101,Tonga,38.2,30.4,38.6,34.4,41.1,42.3,41.9,44.7,44.2
110,97,Tunisia,64.7,63.0,55.3,58.5,53.3,51.9,58.5,57.3,
111,71,Turkey,33.4,44.4,44.6,36.1,41.3,39.8,43.1,47.8,51.6
112,111,Turkmenistan,,16.1,92.0,15.4,2.6,1.8,1.7,1.3,1.0
113,163,Uganda,61.6,63.3,58.1,50.7,16.1,17.8,16.2,20.0,19.8
114,84,Ukraine,,17.8,45.8,39.6,93.1,85.0,75.7,82.6,100.3
115,105,Uzbekistan,,13.5,36.8,32.6,19.3,17.9,16.6,17.8,20.4
116,134,Vanuatu,23.5,22.6,36.9,28.5,25.5,26.4,49.5,17.2,
117,115,Viet Nam,384.0,124.0,38.7,33.7,40.3,40.9,39.5,39.9,40.6
118,168,Yemen,113.2,153.4,58.2,36.3,22.9,22.2,24.5,22.0,
119,139,Zambia,229.5,195.2,168.7,70.9,23.4,23.0,24.1,23.6,28.9
120,154,Zimbabwe,38.5,73.5,60.5,81.1,71.3,72.8,75.2,65.7,84.2
121,,,,,,,,,,,
