,HDI Rank,Country,2010,2011,2012,2013,2014
141,50,Romania,0.094,0.091,0.091,0.098,0.099
142,49,Russian Federation,0.366,0.377,0.382,0.377,0.370
143,159,Rwanda,0.378,0.483,0.400,0.468,0.439
144,74,Saint Kitts and Nevis,0.356,0.308,0.342,0.317,0.286
145,92,Saint Lucia,0.320,0.326,0.336,0.334,0.331
146,99,Saint Vincent and the Grenadines,0.581,0.391,0.286,0.306,0.295
147,104,Samoa,0.441,0.364,0.270,0.273,0.277
148,142,Sao Tome and Principe,0.403,0.425,0.468,0.609,0.624
149,38,Saudi Arabia,0.726,0.768,0.758,0.766,0.738
150,162,Senegal,0.274,0.233,0.228,0.223,0.222
151,66,Serbia,0.077,0.074,0.068,0.114,0.106
152,63,Seychelles,0.439,0.517,0.508,0.489,0.489
153,179,Sierra Leone,0.276,0.275,0.311,0.469,0.481
154,5,Singapore,0.266,0.256,0.246,0.253,0.250
155,40,Slovakia,0.159,0.156,0.166,0.172,0.175
156,25,Slovenia,0.166,0.162,0.156,0.159,0.158
157,156,Solomon Islands,0.725,0.596,0.593,0.609,0.524
158,0,Somalia,0.504,0.553,0.844,0.773,0.605
159,119,South Africa,0.136,0.153,0.136,0.136,0.119
160,27,Spain,0.096,0.095,0.091,0.092,0.092
161,73,Sri Lanka,0.212,0.202,0.203,0.214,0.204
162,97,Suriname,0.489,0.499,0.620,0.573,0.484
163,148,Swaziland,0.246,0.228,0.220,0.246,0.272
164,14,Sweden,0.096,0.096,0.095,0.091,0.091
165,2,Switzerland,0.166,0.168,0.179,0.186,0.256
166,149,Syrian Arab Republic,0.280,0.247,0.142,0.178,0.172
167,129,Tajikistan,0.504,0.481,0.540,0.510,0.406
168,151,Tanzania (United Republic of),0.193,0.232,0.183,0.203,0.180
169,87,Thailand,0.086,0.080,0.082,0.079,0.076
170,82,The former Yugoslav Republic of Macedonia,0.143,0.168,0.164,0.171,0.189
171,133,Timor-Leste,0.440,0.421,0.918,0.935,0.906
172,166,Togo,0.243,0.208,0.192,0.177,0.179
173,101,Tonga,0.277,0.274,0.315,0.319,0.296
174,65,Trinidad and Tobago,0.336,0.365,0.377,0.371,0.371
175,97,Tunisia,0.162,0.165,0.152,0.149,0.145
176,71,Turkey,0.074,0.074,0.092,0.069,0.069
177,111,Turkmenistan,0.512,0.705,0.761,0.747,0.756
178,0,Tuvalu,0.417,0.714,0.684,0.710,0.752
179,163,Uganda,0.196,0.223,0.180,0.185,0.191
180,84,Ukraine,0.130,0.132,0.121,0.120,0.127
181,42,United Arab Emirates,0.377,0.407,0.423,0.419,0.405
182,16,United Kingdom,0.111,0.133,0.118,0.152,0.111
183,10,United States,0.082,0.083,0.090,0.095,0.095
184,54,Uruguay,0.179,0.178,0.206,0.228,0.215
185,105,Uzbekistan,0.248,0.238,0.232,0.244,0.281
186,134,Vanuatu,0.610,0.618,0.621,0.830,0.638
187,71,Venezuela (Bolivarian Republic of),0.658,0.701,0.756,0.769,0.760
188,115,Viet Nam,0.112,0.118,0.137,0.168,0.143
189,168,Yemen,0.671,0.594,0.590,0.523,0.531
190,139,Zambia,0.688,0.707,0.634,0.596,0.612
191,154,Zimbabwe,0.213,0.242,0.262,0.303,0.312
192,,,,,,,
