,HDI Rank,Country,1995,1997,2000,2005,2010,2011,2012,2013,2014,2015
63,70,Georgia,6.9 ddd,6.9,7.2,9.4,6.5,6.6,12.0,12.0,12.0,11.3
64,4,Germany,25.5 ddd,25.5,30.4,30.5,31.7,32.4,32.4,35.6,35.6,36.9
65,139,Ghana,9.0 ddd,9.0,,10.9,8.3,8.3,,10.9,10.9,10.9
66,29,Greece,6.3 ddd,6.3,8.7,13.0,17.3,18.7,21.0,21.0,21.0,19.7
67,79,Grenada,,,17.9,32.1,21.4,17.9,17.9,25.0,25.0,25.0
68,125,Guatemala,12.5 ddd,12.5,8.8,8.2,12.0,13.3,13.3,13.3,13.3,13.9
69,183,Guinea,7.0 ddd,7.0,8.8,19.3,,,,,21.9,21.9
70,178,Guinea-Bissau,10.0 ddd,10.0,7.8,14.0,10.0,10.0,14.0,14.0,13.7,13.7
71,127,Guyana,,,18.5,30.8,30.0,31.3,31.3,31.3,31.3,30.4
72,163,Haiti,,,,9.1,,4.0,3.5,3.5,3.5,3.5
73,130,Honduras,,,9.4,23.4,18.0,19.5,19.5,19.5 tt,25.8,25.8
74,43,Hungary,11.4 ddd,11.4,8.3,9.1,9.1,8.8,8.8,8.8,10.1,10.1
75,9,Iceland,25.4 ddd,25.4,34.9,33.3,42.9,39.7,39.7,39.7,39.7,41.3
76,131,India,7.3 ddd,7.3,,9.3,10.7,10.9,10.9,10.9,11.8,12.2
77,113,Indonesia,11.4 ddd,11.4,8.0,11.3,18.0,18.2,18.6,18.6,16.9,17.1
78,69,Iran (Islamic Republic of),4.9 ddd,4.9,3.4,4.1,2.8,2.8,3.1,3.1,3.1,3.1
79,121,Iraq,6.4 ddd,6.4,7.6,,25.2,25.2,25.2,25.2,25.3,26.5
80,8,Ireland,13.7 ddd,13.7,13.7,14.2,16.1,19.0,19.0,19.9,19.5,19.9
81,19,Israel,7.5 ddd,7.5,12.5,15.0,19.2,20.0,20.0,22.5,22.5,26.7
82,26,Italy,10.0 ddd,10.0,10.0,10.4,20.3,20.6,20.6,30.6,30.6,30.1
83,94,Jamaica,12.3 ddd,12.3,16.0,13.6,13.6,15.5,15.5,15.5,16.7,16.7
84,17,Japan,7.7 ddd,7.7,10.7,10.7,13.6,13.4,11.3,10.8,10.8,11.6
85,86,Jordan,1.7 ddd,1.7,2.5,7.3,12.2,11.1,11.1,12.1,12.0,11.6
86,56,Kazakhstan,11.4 ddd,11.4,11.2,8.6,13.6,13.6,18.2,18.2,19.8,20.1
87,146,Kenya,3.0 ddd,3.0,3.6,7.1,9.8,9.8,9.8,19.9,20.3,20.8
88,137,Kiribati,0.1 ddd,0.1,4.9,4.8,4.3,8.7,8.7,8.7,8.7,8.7
89,0,Korea (Democratic People's Rep. of),20.1 ddd,20.1,20.1,20.1,15.6,15.6,15.6,15.6,16.3,16.3
90,18,Korea (Republic of),3.0 ddd,3.0,5.9,13.4,14.7,14.7,15.7,15.7,16.3,16.3
91,51,Kuwait,0.1 ddd,0.1,0.1,1.5,7.7,7.7,6.2,6.2,1.5,1.5
92,120,Kyrgyzstan,4.8 ddd,4.8,6.0,0.1,23.3,23.3,23.3,23.3,23.3,19.2
93,138,Lao People's Democratic Republic,,,21.2,22.9,25.2,25.0,25.0,25.0,25.0,25.0
94,44,Latvia,9.0 ddd,9.0,17.0,21.0,20.0,23.0,23.0,23.0,18.0,18.0
95,76,Lebanon,2.3 ddd,2.3,2.3,4.7,3.1,3.1,3.1,3.1,3.1,3.1
96,160,Lesotho,11.2 ddd,11.2,10.7,17.0,22.9,23.5,26.8,26.8,26.8,24.8
97,177,Liberia,,,11.1,13.8,13.8,10.7,11.7,11.7,11.7,10.7
98,102,Libya,,,,4.7,7.7,,16.5,16.5,16.0,16.0
99,15,Liechtenstein,4.0 ddd,4.0,4.0,24.0,24.0,24.0,24.0,20.0,20.0,20.0
100,37,Lithuania,17.5 ddd,17.5,10.6,22.0,19.1,19.1,24.5,24.1,24.1,23.4
101,20,Luxembourg,20.0 ddd,20.0,16.7,23.3,20.0,25.0,21.7,28.3,28.3,28.3
102,158,Madagascar,3.7 ddd,3.7,8.0,8.4,12.1,12.1,15.8,15.8,20.5,20.5
103,170,Malawi,5.7 ddd,5.7,9.3,13.6,20.8,22.3,22.3,22.3,16.7,16.7
104,59,Malaysia,10.3 ddd,10.3,14.5,13.1,14.0,12.9,13.2,13.9,14.2,13.2
105,105,Maldives,6.3 ddd,6.3,6.0,12.0,6.5,6.5,6.5,6.5,5.9,5.9
106,175,Mali,12.2 ddd,12.2,12.2,10.2,10.2,10.2,10.2,10.2 tt,9.5,8.8
107,33,Malta,5.8 ddd,5.8,9.2,9.2,8.7,8.7,8.7,14.3,14.3,12.9
108,0,Marshall Islands,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,9.1
109,157,Mauritania,0.7 ddd,0.7,3.0,,19.2,19.2,19.2,19.2 tt,22.2,22.2
110,64,Mauritius,7.6 ddd,7.6,5.7,17.1,18.8,18.8,18.8,18.8,18.8,11.6
111,77,Mexico,13.9 ddd,13.9,15.9,23.7,24.8,25.5,36.0,36.0,36.8,40.6
112,127,Micronesia (Federated States of),0.1 ddd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1 m
113,107,Moldova (Republic of),4.8 ddd,4.8,7.9,21.8,18.8,19.8,19.8,19.8,17.8,21.8
114,0,Monaco,5.6 ddd,5.6,22.2,20.8,26.1,19.0,19.0,20.8,20.8,20.8
115,92,Mongolia,7.9 ddd,7.9,10.5,6.7,3.9,3.9,14.9,14.9,14.9,14.5
116,48,Montenegro,,,,,11.1,12.3,17.3,16.0,17.3,17.3
117,123,Morocco,0.7 ddd,0.7,0.7,6.4,6.7,11.0,11.0,11.0,11.0,15.7
118,181,Mozambique,25.2 ddd,25.2,30.0,34.8,39.2,39.2,39.2,39.2,39.2 uu,39.6
119,145,Myanmar,,,,,4.0,2.9,4.6,4.6,4.3,13.0
120,125,Namibia,17.3 ddd,17.3,20.4,26.9,25.0,25.0,25.0,25.0,25.0 uu,37.7
121,0,Nauru,,,,0.1,0.1,0.1,0.1,5.3,5.3,5.3
122,144,Nepal,4.5 ddd,4.5,7.9,6.4,33.2,33.2,33.2,33.2 tt,29.5,29.5
123,7,Netherlands,28.4 ddd,28.4,32.9,34.2,38.7,39.1,37.8,37.8,37.8,36.4
124,13,New Zealand,29.2 ddd,29.2,30.8,32.2,33.6,32.2,32.2,32.2,29.8,31.4
125,124,Nicaragua,10.8 ddd,10.8,9.7,20.7,20.7,40.2,40.2,40.2,42.4,41.3
126,187,Niger,1.2 ddd,1.2,1.2,12.4,,13.3,13.3,13.3,13.3,13.3
127,152,Nigeria,,,3.3,5.8,7.3,6.7,6.6,6.6,6.6,5.8
128,1,Norway,36.4 ddd,36.4,36.4,37.9,39.6,39.6,39.6,39.6,39.6,39.6
129,52,Oman,,,,7.8,9.0,9.6,9.6,9.6,9.6,8.2
