,HDI Rank,Country,2000,2005,2010,2011,2012,2013,2014,2015
106,59,Malaysia,21.4,48.6,56.3,61.0,65.8,57.1,63.7,71.1
107,105,Maldives,2.2,6.9,26.5,34.0,38.9,44.1,49.3,54.5
108,175,Mali,0.1,0.5,2.0,2.2,2.8,3.5,7.0,10.3
109,33,Malta,13.1,41.2,63.0,68.0,68.2,68.9,73.2,76.2
110,0,Marshall Islands,1.5,3.9,7.0,10.0,12.5,14.0,16.8,19.3
111,157,Mauritania,0.2,0.7,4.0,4.5,5.0,6.2,10.7,15.2
112,64,Mauritius,7.3,15.2,28.3,35.0,35.4,40.1,44.8,50.1
113,77,Mexico,5.1,17.2,31.1,37.2,39.8,43.5,44.4,57.4
114,127,Micronesia (Federated States of),3.7,11.9,20.0,22.8,26.0,27.8,29.6,31.5
115,107,Moldova (Republic of),1.3,14.6,32.3,38.0,43.4,45.0,46.6,49.8
116,0,Monaco,42.2,55.5,75.0,80.3,87.0,90.7,92.4,93.4
117,92,Mongolia,1.3,,10.2,12.5,16.4,17.7,19.9,21.4
118,48,Montenegro,,27.1,37.5,35.6,56.8,60.3,61.0,64.6
119,123,Morocco,0.7,15.1,52.0,46.1,55.4,56.0,56.8,57.1
120,181,Mozambique,0.1,0.9,4.2,4.3,4.8,5.4,5.9,9.0
121,145,Myanmar,,0.1,0.3,1.0,1.4,1.8,11.5,21.8
122,125,Namibia,1.6,4.0,11.6,12.0,12.9,13.9,14.8,22.3
123,0,Nauru,,,,54.0,,,,
124,144,Nepal,0.2,0.8,7.9,9.0,11.1,13.3,15.4,17.6
125,7,Netherlands,44.0,81.0,90.7,91.4,92.9,94.0,93.2,93.1
126,13,New Zealand,47.4,62.7,80.5,81.2,82.0,82.8,85.5,88.2
127,124,Nicaragua,1.0,2.6,10.0,10.6,13.5,15.5,17.6,19.7
128,187,Niger,0.0,0.2,0.8,1.3,1.4,1.7,1.9,2.2
129,152,Nigeria,0.1,3.5,24.0,28.4,32.8,38.0,42.7,47.4
130,1,Norway,52.0,82.0,93.4,93.5,94.7,95.1,96.3,96.8
131,52,Oman,3.5,6.7,35.8,48.0,60.0,66.5,70.2,74.2
132,147,Pakistan,,6.3,8.0,9.0,10.0,10.9,13.8,18.0
133,114,"Palestine, State of",1.1,16.0,37.4,41.1,43.4,46.6,53.7,57.4
134,60,Panama,6.6,11.5,40.1,42.7,40.3,44.0,44.9,51.2
135,154,Papua New Guinea,0.8,1.7,1.3,2.0,3.5,5.1,6.5,7.9
136,110,Paraguay,0.7,7.9,19.8,24.8,29.3,36.9,43.0,44.4
137,87,Peru,3.1,17.1,34.8,36.0,38.2,39.2,40.2,40.9
138,116,Philippines,2.0,5.4,25.0,29.0,36.2,37.0,39.7,40.7
139,36,Poland,7.3,38.8,62.3,62.0,62.3,62.8,66.6,68.0
140,41,Portugal,16.4,35.0,53.3,55.3,60.3,62.1,64.6,68.6
141,33,Qatar,4.9,24.7,69.0,69.0,69.3,85.3,91.5,92.9
142,50,Romania,3.6,21.5,39.9,40.0,45.9,49.8,54.1,55.8
143,49,Russian Federation,2.0,15.2,43.0,49.0,63.8,68.0,70.5,73.4
144,159,Rwanda,0.1,0.6,8.0,7.0,8.0,9.0,10.6,18.0
145,74,Saint Kitts and Nevis,5.9,34.0,63.0,63.2,64.0,64.6,68.0,75.7
146,92,Saint Lucia,5.1,21.6,43.3,44.0,45.9,46.2,50.0,52.4
147,99,Saint Vincent and the Grenadines,3.2,9.2,33.7,36.7,40.0,43.5,47.4,51.8
148,104,Samoa,0.6,3.4,7.0,11.0,12.9,15.3,21.2,25.4
149,0,San Marino,48.8,50.3,,49.6,,,,
150,142,Sao Tome and Principe,4.6,13.8,18.8,20.2,21.6,23.0,24.4,25.8
