,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014
37,176,Congo (Democratic Republic of the),,,,,45.5,29.3,44.6,,
38,66,Costa Rica,35.0,27.2,9.5,9.5,9.0,11.5,12.3,9.6,
39,45,Croatia,,4.9,0.5,0.5,0.7,0.6,,,
40,68,Cuba,,,4.0,3.1,5.0,3.5,4.2,3.5,
41,33,Cyprus,18.9,4.9,1.2,1.3,,,5.6,9.2,
42,28,Czech Republic,,0.6,1.5,0.6,0.8,0.7,0.8,0.7,
43,171,Côte d'Ivoire,44.0,45.8,12.7,,,17.8,26.9,26.0,
44,5,Denmark,,,0.1,,,,1.6,0.5,
45,172,Djibouti,,,,,,,24.1,15.6,
46,96,Dominica,,,20.6,15.2,9.5,12.2,13.6,15.0,
47,99,Dominican Republic,,,,,,20.8,8.9,21.4,
48,89,Ecuador,,32.6,24.3,24.4,7.9,8.6,12.6,11.1,
49,111,Egypt,,,1.0,6.8,,,,,
50,117,El Salvador,,46.8,35.9,32.7,16.0,16.1,16.2,17.4,
51,135,Equatorial Guinea,,,,,44.7,27.9,,,
52,179,Eritrea,,55.8,39.5,26.3,,,22.4,,
53,30,Estonia,,21.1,1.5,3.8,2.9,3.0,3.4,,
54,174,Ethiopia,,79.9,38.8,39.2,59.3,63.4,,,
55,91,Fiji,,,13.9,,,3.5,2.8,,
56,23,Finland,6.3,,0.7,0.7,0.4,0.4,0.6,0.4,
57,173,Gambia,,55.0,27.1,38.3,37.0,17.2,27.0,22.7,
58,70,Georgia,,,5.2,1.2,,6.9,0.2,1.3,
59,4,Germany,,8.1,1.0,2.0,3.4,3.8,3.5,,
60,139,Ghana,,,40.6,,,,,16.3,
61,29,Greece,,,,2.5,7.1,5.6,9.3,,
62,125,Guatemala,,,49.6,36.7,29.1,33.3,32.3,28.2,
63,183,Guinea,53.3,,,26.0,,41.4,,34.1,
64,127,Guyana,,22.6,34.9,,,7.8,,,
65,130,Honduras,,51.3,,19.0,25.2,30.4,30.3,24.6,
66,12,"Hong Kong, China (SAR)",,,,,0.6,1.0,1.0,1.6,
67,43,Hungary,,,5.6,2.0,,,2.0,1.7,
68,9,Iceland,,,1.1,2.5,2.9,2.1,,,
69,131,India,,42.7,41.0,,,,,,
70,113,Indonesia,20.3,10.8,,,12.0,11.0,18.2,18.1,
71,69,Iran (Islamic Republic of),31.2,,2.6,,1.9,3.8,,,
72,19,Israel,,,,0.8,1.1,1.1,1.2,0.8,
73,26,Italy,,,,0.6,0.5,0.7,1.1,,
74,94,Jamaica,12.7,,14.8,,18.1,,13.9,5.1,
75,17,Japan,,,0.1,0.1,0.1,0.2,,,
76,86,Jordan,14.5,,,,2.1,,,,
77,56,Kazakhstan,,5.9,5.0,0.7,0.2,0.4,0.7,1.1,1.2
78,137,Kiribati,,22.0,,,,,,,
79,18,Korea (Republic of),,,1.2,1.4,1.0,0.8,0.4,,
80,51,Kuwait,,28.6,5.2,,,5.9,4.3,,
81,120,Kyrgyzstan,,4.9,7.0,1.9,4.7,2.9,2.3,1.2,
82,138,Lao People's Democratic Republic,67.3,,46.5,37.8,32.0,30.1,26.7,22.4,
83,44,Latvia,,25.8,2.7,2.2,6.9,9.7,7.6,6.5,
84,76,Lebanon,,,3.7,12.2,9.5,6.7,,,
85,160,Lesotho,52.6,45.3,45.0,36.9,36.1,36.1,43.2,32.6,
86,177,Liberia,,,,,,,,,
87,15,Liechtenstein,,,,,,,,,
88,37,Lithuania,,8.9,1.4,3.3,3.6,2.5,3.3,2.8,
89,20,Luxembourg,,,,,,,15.2,,
90,158,Madagascar,66.0,73.0,63.9,64.0,60.5,59.3,62.0,59.9,
91,170,Malawi,75.6,83.8,,63.9,49.1,50.9,,,
92,59,Malaysia,17.0,,,1.1,,,,5.8,
93,105,Maldives,,,,,,17.2,17.8,,
94,175,Mali,,,16.6,26.5,24.5,38.4,,,
95,33,Malta,,,2.1,,4.3,5.5,1.7,3.1,
96,0,Marshall Islands,,,,21.6,,,,,
97,157,Mauritania,46.6,66.3,,55.4,,,35.9,,
98,64,Mauritius,,,2.6,2.3,2.6,2.7,4.2,1.8,
99,77,Mexico,26.5,21.3,12.8,7.9,5.0,4.2,5.4,4.3,
100,107,Moldova (Republic of),,,10.5,3.0,4.6,4.2,5.4,4.9,
101,92,Mongolia,,31.8,11.1,,,,,,
102,48,Montenegro,,,,,,19.5,,,
103,123,Morocco,31.1,43.0,26.7,26.3,10.6,11.8,8.4,10.7,
104,181,Mozambique,66.2,70.1,67.0,60.9,73.0,69.4,68.4,69.3,
105,145,Myanmar,,,44.8,28.5,,,,,
106,125,Namibia,,,18.4,23.1,,,9.4,,
