,HDI Rank,Country,2000,2005,2010,2011,2012,2013,2014,2015
88,120,Kyrgyzstan,2429,2922,3408,3422,3623,3893 ee,4037,4090
89,138,Lao People's Democratic Republic,2579,3325,4186,4421,4730,5074 ee,5416,5696
90,44,Latvia,13804,21092,21914,23246,24390,25487 ee,26442,27034
91,76,Lebanon,20725,19233,24733,24258,23134,21602 ee,21093,20712
92,160,Lesotho,2515,2975,3160,3444,3445,3834 ee,3925,4020
93,177,Liberia,754,595,715,775,771,807 ee,798,788
94,102,Libya,32815,38642,43424,16468,32322,28860 ee,22879,21364
95,37,Lithuania,14568,22412,23674,25283,26751,28251 ee,29822,30533
96,20,Luxembourg,88063,92583,81705,76255,73322,69982 ee,72043,77280
97,158,Madagascar,1666,1614,1618,1587,1564,1556 ee,1564,1550
98,170,Malawi,1741,1002,1134,1156,1136,1153 ee,1189,1175
99,59,Malaysia,20966,24931,26831,28019,28624,29555 ee,31149,32210
100,105,Maldives,8161,9231,12136,12809,12820,13130 ee,13662,13592
101,175,Mali,1399,1721,2364,2481,2669,2803 ee,2953,3071
102,33,Malta,35946,33659,37986,38230,38237,38915 ee,39763,41804
103,157,Mauritania,4691,4915,5098,5084,5206,5393 ee,5482,5422
104,64,Mauritius,15863,18468,22670,23188,23810,24375 ee,24694,25545
105,77,Mexico,20876,20662,21150,21469,21864,21542 ee,21806,22115
106,107,Moldova (Republic of),2837,4359,4784,5073,5188,5632 ee,5883,5636
107,92,Mongolia,5097,6863,8229,9678,10306,12232 ee,12168,12122
108,48,Montenegro,13340,14634,17166,17799,17472,18122 ee,18310,19149
109,123,Morocco,6851,8446,10031,10347,10444,10819 ee,10778,11091
110,181,Mozambique,580,767,947,1006,1063,1109 ee,1151,1184
111,145,Myanmar,1512,2621,4182,4386,4671,5012 ee,5412,5740
112,125,Namibia,7838,8999,9657,10052,10160,10857 ee,11320,11665
113,144,Nepal,1980,1984,2328,2381,2475,2544 ee,2660,2718
114,7,Netherlands,54378,53250,62866,64225,63422,62840 ee,61963,62777
115,13,New Zealand,33122,37995,38101,39021,40084,40429 ee,41223,41717
116,124,Nicaragua,4955,5276,5336,5595,5789,5966 ee,6170,6389
117,187,Niger,1102,1147,1188,1168,1238,1244 ee,1287,1292
118,152,Nigeria,3127,4519,5939,6077,6200,6368 ee,6709,6706
119,1,Norway,70983,73366,71889,71327,71722,71731 ee,74628,75301
120,52,Oman,67744,61378,63330,55431,52115,49107 ee,45347,43894
121,147,Pakistan,5904,6985,7424,7536,7668,7842 ee,8128,8377
122,114,"Palestine, State of",8385,8104,7414,7772,8653,8121 ee,7925,8651
123,60,Panama,13824,15579,17800,20085,21515,22486 ee,23397,24369
124,154,Papua New Guinea,2044,2011,2327,2518,2664,2752 ee,2930,3047
125,110,Paraguay,7552,7071,8684,9134,8634,9784 ee,10405,10165
126,87,Peru,8342,8904,11201,11726,12360,13719 ee,13105,13658
127,116,Philippines,6342,7371,9035,8222,8613,9177 ee,9513,9919
128,36,Poland,18228,21254,25248,26512,26970,27356 ee,28504,29665
129,41,Portugal,32753,31459,31225,31755,30329,30769 ee,31178,31671
130,33,Qatar,142465,136572,139989,148416,149781,153213 ee,157572,159901
131,50,Romania,12204,16669,20473,20820,20778,21245 ee,22148,22782
132,49,Russian Federation,17101,23490,29355,30530,31480,30510 ee,30255,29528
133,159,Rwanda,907,1162,1485,1561,1649,1679 ee,1751,1822
134,92,Saint Lucia,11921,11817,12364,12295,11643,11509 ee,11496,11617
135,99,Saint Vincent and the Grenadines,9730,11675,12393,12307,12615,12881 ee,12917,13095
136,104,Samoa,5845,7187,6972,7322,7295,7088 ee,7117,7181
137,142,Sao Tome and Principe,2972,3286,3770,3855,3939,4010 ee,4089,4149
138,38,Saudi Arabia,67357,69029,68638,72904,74042,74258 ee,74907,75919
139,162,Senegal,2464,2707,2718,2680,2708,2683 ee,2737,2814
140,66,Serbia,10177,13108,14414,14728,14556,15009 ee,14912,14931
141,179,Sierra Leone,1147,1357,1546,1608,1811,2137 ee,2190,1708
142,5,Singapore,70744,73686,94302,89762,89980,92641 ee,95219,95979
143,40,Slovakia,19174,23954,31082,31093,32017,32368 ee,32796,33773
144,25,Slovenia,28041,29801,30896,31245,30382,30111 ee,31087,31730
145,156,Solomon Islands,1730,1612,1781,1969,2017,2032 ee,2021,2045
146,0,Somalia,419,426,416,417,417,418 ee,418,418
147,119,South Africa,12590,14098,15210,15409,15292,15557 ee,15529,15487
148,27,Spain,41733,43048,40570,40137,39712,39369 ee,39968,41505
149,73,Sri Lanka,7667,9129,12538,13520,14527,14807 ee,15265,15867
150,165,Sudan,3222,3746,4513,5022,5527,5559 ee,5641,5775
151,97,Suriname,13221,16940,19343,19218,20036,20728 ee,21196,21512
152,148,Swaziland,9177,10270,9540,9647,9772,9909 ee,10007,10020
153,14,Sweden,41805,46953,49568,50485,49970,50006 ee,50576,52182
154,2,Switzerland,67095,69429,70781,67647,65747,65837 ee,65438,66105
155,149,Syrian Arab Republic,7747,8856,10249,9698,7711,5980 ee,4769,4007
156,129,Tajikistan,1422,2050,2511,2651,2775,2911 ee,3032,3088
157,151,Tanzania (United Republic of),1731,2110,2351,2464,2309,2417 ee,2501,2576
158,87,Thailand,11138,13451,14628,15032,15676,15637 ee,15748,16144
159,82,The former Yugoslav Republic of Macedonia,11588,12433,14208,14445,14278,14617 ee,15338,15790
160,133,Timor-Leste,3287,3343,8534,10625,10719,8992 ee,7437,7549
161,166,Togo,1472,1331,1190,1194,1247,1296 ee,1377,1412
