,HDI Rank,Country,1995,2000,2005,2010,2011,2012,2013,2014
77,131,India,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.4
78,113,Indonesia,0.7,0.7,0.8,1.0,1.0,1.1,1.2,1.1
79,69,Iran (Islamic Republic of),1.7,1.9,2.3,2.7,2.5,2.7,2.7,2.8
80,121,Iraq,,,2.8,2.8,2.5,3.3,3.7,3.3
81,8,Ireland,4.7,4.5,5.5,6.1,5.5,5.6,5.3,5.1
82,19,Israel,5.0,4.5,4.4,4.6,4.6,4.9,4.9,4.8
83,26,Italy,5.0,5.7,6.6,7.3,7.0,7.0,7.0,7.0
84,94,Jamaica,2.2,3.2,2.0,3.0,2.8,3.3,3.4,2.8
85,17,Japan,5.5,6.1,6.7,7.9,8.3,8.4,8.5,8.6
86,86,Jordan,5.3,4.6,4.8,5.9,5.9,5.5,4.9,5.2
87,56,Kazakhstan,3.0,2.1,2.5,2.5,2.3,2.4,2.2,2.4
88,146,Kenya,2.0,2.2,1.8,1.4,2.6,3.3,3.3,3.5
89,137,Kiribati,9.0,7.6,9.5,8.7,8.6,8.3,8.2,8.3
90,18,Korea (Republic of),1.4,2.1,2.8,3.9,3.8,3.9,3.9,4.0
91,51,Kuwait,3.1,1.9,1.9,2.3,2.3,2.2,2.2,2.6
92,120,Kyrgyzstan,3.1,2.1,2.4,3.7,3.7,4.2,3.9,3.6
93,138,Lao People's Democratic Republic,2.2,1.1,0.7,1.3,0.8,0.8,1.0,0.9
94,44,Latvia,3.8,3.3,3.6,3.9,3.9,3.6,3.5,3.7
95,76,Lebanon,4.2,3.2,3.7,2.7,2.7,3.2,3.1,3.0
96,160,Lesotho,3.6,3.5,3.3,8.1,9.1,8.4,8.4,8.1
97,177,Liberia,,1.4,1.6,2.7,3.9,3.4,2.8,3.2
98,102,Libya,1.5,1.7,1.7,2.1,3.0,3.0,3.0,3.7
99,37,Lithuania,4.0,4.5,4.0,5.0,4.7,4.3,4.3,4.4
100,20,Luxembourg,5.1,6.4,6.7,6.6,6.3,6.0,5.9,5.8
101,158,Madagascar,1.4,2.6,2.6,2.6,2.4,1.8,2.6,1.5
102,170,Malawi,1.9,2.8,6.1,6.3,6.9,6.8,5.8,6.0
103,59,Malaysia,1.7,1.7,1.7,2.3,2.1,2.2,2.2,2.3
104,105,Maldives,3.7,5.1,7.1,5.3,5.6,6.5,8.3,10.8
105,175,Mali,2.6,2.1,3.0,2.8,3.0,2.3,1.1,1.6
106,33,Malta,3.8,4.7,6.0,5.2,6.5,6.6,6.6,6.7
107,0,Marshall Islands,28.1,19.2,14.7,14.4,14.3,13.9,14.6,14.4
108,157,Mauritania,2.2,2.8,2.0,1.5,1.3,1.4,1.7,1.9
109,64,Mauritius,2.0,2.0,2.2,2.6,2.5,2.3,2.4,2.4
110,77,Mexico,2.1,2.3,2.6,3.1,3.1,3.2,3.3,3.3
111,127,Micronesia (Federated States of),8.7,7.4,11.3,12.6,12.5,11.6,12.1,12.4
112,107,Moldova (Republic of),5.8,3.2,4.2,5.6,5.3,5.5,5.0,5.3
113,0,Monaco,2.8,2.9,3.5,3.9,3.7,3.8,3.6,3.8
114,92,Mongolia,2.6,3.8,2.5,2.7,2.6,2.3,2.2,2.6
115,48,Montenegro,5.2,5.2,6.0,4.2,4.2,4.5,3.7,3.7
116,123,Morocco,1.2,1.2,1.4,2.1,2.1,2.2,2.0,2.0
117,181,Mozambique,3.4,4.3,4.3,3.0,2.7,2.8,3.1,3.9
118,145,Myanmar,0.4,0.3,0.2,0.3,0.3,0.8,0.8,1.0
119,125,Namibia,4.4,4.2,3.6,4.6,5.3,4.9,5.0,5.4
120,0,Nauru,12.3,12.5,11.6,8.5,7.1,6.5,4.2,2.9
121,144,Nepal,1.4,1.4,1.6,2.9,3.2,2.5,2.2,2.3
122,7,Netherlands,5.3,4.7,6.7,9.1,9.1,9.5,9.6,9.5
123,13,New Zealand,5.4,5.8,6.6,9.3,9.3,9.5,9.2,9.1
124,124,Nicaragua,4.2,2.9,3.5,4.3,4.1,4.3,4.4,5.1
125,187,Niger,1.5,1.5,3.0,2.2,2.5,2.2,2.5,3.2
126,152,Nigeria,0.7,0.9,1.2,0.9,1.2,1.0,0.9,0.9
127,1,Norway,6.5,6.8,7.4,7.8,7.7,7.8,8.0,8.3
128,52,Oman,3.1,2.5,2.1,2.3,2.0,2.1,2.4,3.2
129,147,Pakistan,0.7,0.6,0.7,1.0,0.9,1.0,1.0,0.9
130,60,Palau,8.7,6.4,5.9,7.6,6.5,6.7,6.6,6.5
131,60,Panama,5.2,5.3,5.2,5.7,5.1,5.0,5.8,5.9
132,154,Papua New Guinea,2.5,3.3,5.5,3.2,4.0,3.7,3.9,3.5
133,110,Paraguay,2.1,3.2,2.4,3.4,3.8,4.6,4.8,4.5
134,87,Peru,2.4,2.7,2.7,2.8,2.6,2.8,3.0,3.3
135,116,Philippines,1.4,1.5,1.5,1.6,1.3,1.4,1.4,1.6
136,36,Poland,3.9,3.9,4.3,4.9,4.7,4.6,4.5,4.5
137,41,Portugal,4.6,6.2,7.0,7.2,6.7,6.2,6.2,6.2
138,33,Qatar,2.3,1.6,2.5,1.6,1.5,1.8,1.9,1.9
139,50,Romania,2.4,3.5,4.4,4.7,4.4,4.4,4.5,4.5
140,49,Russian Federation,4.0,3.2,3.2,3.7,3.6,3.8,3.7,3.7
141,159,Rwanda,1.6,1.7,3.2,2.9,2.8,2.8,2.9,2.9
142,74,Saint Kitts and Nevis,3.2,2.6,1.9,2.5,2.3,2.4,2.2,2.1
143,92,Saint Lucia,3.0,2.9,2.9,4.0,3.3,4.2,3.5,3.6
144,99,Saint Vincent and the Grenadines,3.8,3.1,3.0,3.9,4.1,4.4,4.3,4.4
145,104,Samoa,3.4,4.1,3.6,5.0,5.1,4.3,6.2,6.5
146,0,San Marino,4.6,4.4,3.8,4.6,5.3,5.9,5.7,5.7
147,142,Sao Tome and Principe,2.8,3.8,5.3,2.5,2.6,2.5,3.6,3.6
148,38,Saudi Arabia,1.5,3.1,2.5,2.3,2.5,2.8,3.1,3.5
149,162,Senegal,1.3,1.9,3.0,2.4,2.3,2.2,2.2,2.4
150,66,Serbia,4.3,4.3,5.7,6.2,6.0,6.0,6.0,6.4
151,63,Seychelles,4.2,3.8,3.6,3.2,3.2,3.8,3.3,3.1
152,179,Sierra Leone,2.4,3.5,2.7,2.4,2.6,2.0,1.7,1.9
153,5,Singapore,1.5,1.2,1.0,1.4,1.3,1.5,1.7,2.1
154,40,Slovakia,5.4,4.9,5.2,5.8,5.6,5.7,5.8,5.8
155,25,Slovenia,5.8,6.1,6.2,6.7,6.7,6.8,6.7,6.6
156,156,Solomon Islands,3.0,4.3,7.4,7.0,4.7,5.1,5.0,4.6
157,119,South Africa,3.4,3.3,3.3,4.0,4.1,4.3,4.2,4.2
