,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014
64,113,Indonesia,1.6,0.7,1.1,0.9,0.2,0.0 jj,0.0 jj,0.0 jj,-0.0
65,69,Iran (Islamic Republic of),0.1,0.2,0.1,0.1,0.0,0.0 jj,0.0 jj,0.0 jj,0.0
66,121,Iraq,0.0,,,43.5,1.6,1.0 jj,0.6 jj,0.7 jj,0.6
67,19,Israel,2.7,0.4,,,,,,,
68,94,Jamaica,6.5,1.9,0.1,0.4,1.1,0.3 jj,0.2 jj,0.5 jj,0.7
69,86,Jordan,24.1,8.4,6.5,5.5,3.6,3.4 jj,3.8 jj,4.2 jj,7.6
70,56,Kazakhstan,,0.3,1.1,0.4,0.2,0.1 jj,0.1 jj,0.0 jj,0.0
71,146,Kenya,14.4,8.4,4.1,4.1,4.1,5.9 jj,5.3 jj,6.0 jj,4.4
72,137,Kiribati,41.9,16.8,16.3,17.4,10.2,26.3 jj,23.7 jj,21.9 jj,24.3
73,18,Korea (Republic of),0.0,0.0,,,,,,,
74,51,Kuwait,0.1,0.0,,,,,,,
75,120,Kyrgyzstan,,17.5,16.7,11.3,8.5,9.5 jj,7.3 jj,7.6 jj,8.6
76,138,Lao People's Democratic Republic,17.2,17.5,16.9,11.3,6.2,5.2 jj,4.7 jj,4.0 jj,4.2
77,76,Lebanon,8.3,1.6,1.1,1.1,1.2,1.2 jj,1.6 jj,1.4 jj,1.8
78,160,Lesotho,15.4,9.4,3.6,3.6,9.9,8.2 jj,9.6 jj,11.2 jj,4.0
79,177,Liberia,,,15.8,56.4,126.9,53.6 jj,38.4 jj,32.5 jj,44.3
80,102,Libya,,,,0.1,0.0,1.8 jj,0.1 jj,0.2 jj,0.5
81,158,Madagascar,13.4,10.0,8.4,18.4,5.5,4.6 jj,3.9 jj,4.9 jj,5.4
82,170,Malawi,27.2,32.2,26.1,15.9,14.8,10.1 jj,19.8 jj,21.1 jj,15.8
83,59,Malaysia,1.1,0.1,0.1,0.0,0.0,0.0 jj,0.0 jj,-0.0 jj,0.0
84,105,Maldives,10.8,15.2,3.2,7.0,5.5,2.5 jj,2.5 jj,0.9 jj,0.9
85,175,Mali,18.0,20.3,9.8,11.9,10.6,10.1 jj,8.3 jj,10.9 jj,8.8
86,33,Malta,0.2,0.3,0.6,,,,,,
87,0,Marshall Islands,,25.4,38.9,31.8,16.3,39.2 jj,39.3 jj,41.6 jj,24.2
