,HDI Rank,Country,2010,2011,2012,2013,2014,2015
142,82,The former Yugoslav Republic of Macedonia,21.8,21.8,21.8,21.8,30.1,30.1 qqq
143,133,Timor-Leste,19.2,17.8,17.8,17.8,17.8,17.8 qqq
144,166,Togo,20.0,20.0,20.0,23.5,23.5,23.5 qqq
145,65,Trinidad and Tobago,21.9,21.9,21.9,21.9,21.9,21.9 qqq
146,97,Tunisia,21.8,21.8,,,18.9,18.9 qqq
147,71,Turkey,26.5,26.5,26.5,21.8,21.8,21.8 qqq
148,111,Turkmenistan,38.7,,,,,
149,163,Uganda,26.4,29.1,29.1,27.3,27.3,27.3 qqq
150,84,Ukraine,10.4,10.9,10.9,10.9,9.2,9.2 qqq
151,16,United Kingdom,21.0,17.3,16.9,18.8,17.8,16.2 qqq
152,10,United States,23.5,32.4,24.1,35.6,35.6,27.0 qqq
153,54,Uruguay,26.3,27.8,27.9,27.1,24.2,26.2 qqq
154,105,Uzbekistan,17.9,17.9,20.1,20.1,20.1,20.1 qqq
155,134,Vanuatu,,,,18.5,18.5,18.5 qqq
156,71,Venezuela (Bolivarian Republic of),32.0,44.9,44.9,28.4,28.4,28.4 qqq
157,115,Viet Nam,18.2,11.4,11.4,14.6,22.0,21.4 qqq
158,168,Yemen,17.6,17.6,17.6,17.6,20.6,20.6 qqq
159,139,Zambia,20.8,20.8,42.6,42.6,42.6,48.6 qqq
160,154,Zimbabwe,34.5,34.5,35.8,35.8,35.8,35.8 qqq
161,,,,,,,,
