,HDI Rank,Country,1990,1995,2000,2005,2010,2015
93,138,Lao People's Democratic Republic,84.6,85.0,81.5,72.6,62.3,56.6
94,44,Latvia,32.1,31.5,26.6,21.7,21.0,22.7
95,76,Lebanon,56.9,50.6,44.6,43.2,34.9,35.4
96,160,Lesotho,84.8,78.6,76.0,71.2,64.9,60.3
97,177,Liberia,86.7,83.2,80.6,80.7,80.9,77.4
98,102,Libya,75.7,62.8,52.1,44.2,43.1,45.5
99,37,Lithuania,33.9,33.0,29.5,25.1,21.8,21.8
100,20,Luxembourg,25.1,27.2,28.3,27.8,25.8,23.6
101,158,Madagascar,87.1,85.9,88.3,85.8,80.8,75.2
102,170,Malawi,88.8,91.6,93.6,92.7,91.3,87.9
103,59,Malaysia,62.6 t,58.9 t,53.0 t,46.0 t,40.2 t,35.2 t
104,105,Maldives,95.6,92.1,73.3,54.0,43.2,40.5
105,175,Mali,94.2,93.5,92.6,92.3,93.8,95.1
106,33,Malta,36.4,33.7,30.9,26.5,24.1,21.8
107,157,Mauritania,85.2,82.8,79.5,75.6,73.4,70.5
108,64,Mauritius,43.7 h,40.8 h,37.8 h,36.0 h,31.2 h,27.2 h
109,77,Mexico,68.6,61.1,56.5,52.1,46.7,41.9
110,127,Micronesia (Federated States of),84.3,82.3,72.0,67.8,62.3,55.3
111,107,Moldova (Republic of),43.8 x,41.3 x,34.9 x,25.9 x,22.5 x,21.2 x
112,92,Mongolia,73.0,67.1,56.5,43.0,38.9,41.7
113,48,Montenegro,38.4,35.1,32.0,30.2,29.3,27.6
114,123,Morocco,70.3,63.8,54.9,47.7,42.6,40.9
115,181,Mozambique,95.8,86.1,86.5,88.9,90.3,88.2
116,145,Myanmar,64.7,57.4,50.4,47.7,45.7,41.1
117,125,Namibia,82.3,77.0,71.9,70.0,65.1,61.4
118,144,Nepal,78.6,76.0,74.3,71.4,64.3,52.9
119,7,Netherlands,26.2,26.7,27.2,27.0,25.9,25.3
120,13,New Zealand,35.4,35.2,34.7,32.5,30.8,31.1
121,124,Nicaragua,89.6,80.9,70.1,60.2,52.5,46.3
