,HDI Rank,Country,1990,1995,2000,2005,2010,2015
77,113,Indonesia,1.05,1.05,1.05,1.05,1.05,1.05 hhh
78,69,Iran (Islamic Republic of),1.05,1.05,1.04,1.04,1.05,1.05 hhh
79,121,Iraq,1.07,1.07,1.07,1.07,1.07,1.07 hhh
80,8,Ireland,1.07,1.07,1.07,1.07,1.07,1.07 hhh
81,19,Israel,1.05,1.06,1.06,1.05,1.05,1.05 hhh
82,26,Italy,1.06,1.06,1.06,1.06,1.06,1.06 hhh
83,94,Jamaica,1.05,1.05,1.05,1.05,1.05,1.05 hhh
84,17,Japan,1.06,1.06,1.06,1.06,1.06,1.06 hhh
85,86,Jordan,1.05,1.05,1.05,1.05,1.05,1.05 hhh
86,56,Kazakhstan,1.06,1.06,1.06,1.06,1.06,1.06 hhh
87,146,Kenya,1.03,1.03,1.03,1.03,1.03,1.03 hhh
88,137,Kiribati,1.07,1.07,1.07,1.07,1.07,1.07 hhh
89,0,Korea (Democratic People's Rep. of),1.05,1.05,1.05,1.05,1.05,1.05 hhh
90,18,Korea (Republic of),1.14,1.14,1.10,1.10,1.07,1.07 hhh
91,51,Kuwait,1.04,1.05,1.05,1.04,1.04,1.04 hhh
92,120,Kyrgyzstan,1.05,1.05,1.07,1.05,1.06,1.06 hhh
93,138,Lao People's Democratic Republic,1.05,1.05,1.05,1.05,1.05,1.05 hhh
94,44,Latvia,1.06,1.05,1.07,1.05,1.04,1.05 hhh
95,76,Lebanon,1.05,1.05,1.05,1.05,1.05,1.05 hhh
96,160,Lesotho,1.03,1.03,1.03,1.03,1.03,1.03 hhh
97,177,Liberia,1.05,1.05,1.05,1.05,1.05,1.05 hhh
98,102,Libya,1.05,1.06,1.06,1.06,1.06,1.06 hhh
99,37,Lithuania,1.06,1.05,1.06,1.06,1.05,1.05 hhh
100,20,Luxembourg,1.05,1.05,1.05,1.05,1.05,1.05 hhh
101,158,Madagascar,1.02,1.02,1.02,1.02,1.03,1.03 hhh
102,170,Malawi,1.02,1.02,1.02,1.02,1.02,1.03 hhh
103,59,Malaysia,1.06,1.06,1.06,1.06,1.06,1.06 hhh
104,105,Maldives,1.05,1.08,1.06,1.06,1.06,1.09 hhh
105,175,Mali,1.05,1.05,1.05,1.05,1.05,1.05 hhh
106,33,Malta,1.06,1.06,1.06,1.06,1.06,1.06 hhh
107,157,Mauritania,1.05,1.05,1.05,1.05,1.05,1.05 hhh
108,64,Mauritius,1.04,1.04,1.04,1.04,1.04,1.04 hhh
109,77,Mexico,1.05,1.05,1.05,1.05,1.05,1.05 hhh
110,127,Micronesia (Federated States of),1.07,1.07,1.07,1.07,1.07,1.07 hhh
111,107,Moldova (Republic of),1.06,1.06,1.05,1.06,1.06,1.06 hhh
112,92,Mongolia,1.03,1.03,1.03,1.03,1.03,1.03 hhh
113,48,Montenegro,1.08,1.08,1.08,1.08,1.08,1.07 hhh
114,123,Morocco,1.05,1.06,1.06,1.06,1.06,1.06 hhh
115,181,Mozambique,1.03,1.03,1.03,1.03,1.03,1.03 hhh
116,145,Myanmar,1.03,1.03,1.03,1.03,1.03,1.03 hhh
117,125,Namibia,1.03,1.03,1.03,1.03,1.03,1.03 hhh
118,144,Nepal,1.05,1.05,1.07,1.07,1.05,1.07 hhh
119,7,Netherlands,1.06,1.06,1.06,1.06,1.06,1.05 hhh
120,13,New Zealand,1.05,1.06,1.06,1.05,1.06,1.05 hhh
121,124,Nicaragua,1.05,1.05,1.05,1.05,1.05,1.05 hhh
122,187,Niger,1.05,1.05,1.05,1.05,1.05,1.05 hhh
123,152,Nigeria,1.06,1.06,1.06,1.06,1.06,1.06 hhh
124,1,Norway,1.05,1.06,1.06,1.05,1.06,1.06 hhh
125,52,Oman,1.05,1.05,1.05,1.05,1.05,1.05 hhh
126,147,Pakistan,1.07,1.07,1.08,1.10,1.09,1.09 hhh
127,114,"Palestine, State of",1.05,1.05,1.05,1.05,1.05,1.05 hhh
128,60,Panama,1.05,1.05,1.05,1.05,1.05,1.05 hhh
129,154,Papua New Guinea,1.08,1.08,1.08,1.08,1.08,1.08 hhh
130,110,Paraguay,1.05,1.05,1.05,1.05,1.05,1.05 hhh
131,87,Peru,1.05,1.05,1.05,1.05,1.05,1.05 hhh
132,116,Philippines,1.06,1.06,1.06,1.06,1.06,1.06 hhh
133,36,Poland,1.06,1.06,1.06,1.06,1.06,1.06 hhh
134,41,Portugal,1.06,1.06,1.06,1.06,1.06,1.06 hhh
