,HDI Rank,Country,1995,2000,2005,2010,2011,2012,2013,2014,2015
70,130,Honduras,3.2,3.9,4.2,4.8,4.4,4.1,3.9,3.9,3.9
71,12,"Hong Kong, China (SAR)",3.2,4.9,5.6,4.3,3.4,3.3,3.4,3.3,3.3
72,43,Hungary,9.9,6.6,7.2,11.2,11.0,11.0,10.2,7.7,7.0
73,9,Iceland,5.2,1.9,2.5,7.6,7.0,6.0,5.4,4.9,4.4
74,131,India,4.0,4.3,4.4,3.5,3.5,3.6,3.6,3.5,3.5
75,113,Indonesia,6.4,6.1,11.2,7.1,6.6,6.1,6.2,5.9,5.8
76,69,Iran (Islamic Republic of),11.8,11.8,12.1,13.5,12.5,12.7,10.4,10.6,10.5
77,121,Iraq,18.8,18.6,18.0,15.2,15.2,15.2,15.1,16.0,16.9
78,8,Ireland,12.0,4.3,4.3,13.9,14.6,14.7,13.0,11.3,9.5
79,19,Israel,6.0,7.8,8.0,6.0,5.1,6.9,6.2,5.9,5.0
80,26,Italy,11.7,10.8,7.7,8.4,8.4,10.7,12.1,12.7,12.1
81,94,Jamaica,16.2,15.5,10.9,12.4,12.7,13.7,15.3,13.7,13.7
82,17,Japan,3.0,4.8,4.4,4.9,4.4,4.2,3.9,3.5,3.3
83,86,Jordan,14.6,13.7,14.8,12.5,12.9,12.2,12.6,11.9,12.8
84,56,Kazakhstan,11.0,12.8,8.1,5.8,5.4,5.3,5.2,5.1,5.6
85,146,Kenya,9.9,9.8,9.5,9.2,9.2,9.2,9.1,9.2,9.2
86,0,Korea (Democratic People's Rep. of),4.2,6.8,6.8,6.7,6.7,6.8,6.8,6.7,6.7
87,18,Korea (Republic of),2.1,4.4,3.7,3.7,3.4,3.2,3.1,3.5,3.7
88,51,Kuwait,0.7,0.8,2.0,1.8,3.6,3.6,3.5,3.5,3.5
89,120,Kyrgyzstan,9.2,7.5,8.1,8.6,8.5,8.4,8.3,8.2,8.2
90,138,Lao People's Democratic Republic,2.6,1.9,1.4,1.4,1.4,1.4,1.4,1.5,1.6
91,44,Latvia,19.0,14.2,10.0,19.5,16.2,15.0,11.9,10.8,9.8
92,76,Lebanon,8.1,8.9,8.2,6.2,6.2,6.2,6.3,6.7,7.1
93,160,Lesotho,34.9,26.2,36.1,25.6,24.7,25.2,24.4,26.4,27.5
94,177,Liberia,4.4,4.3,4.9,3.7,3.7,3.7,3.7,4.0,4.2
95,102,Libya,20.9,20.8,20.5,19.7,19.2,20.6,20.6,20.6,20.6
96,37,Lithuania,17.5,15.9,8.3,17.8,15.4,13.4,11.8,10.7,9.5
97,20,Luxembourg,2.9,2.3,4.5,4.4,4.9,5.1,5.8,5.9,5.9
98,158,Madagascar,2.2,2.2,2.6,3.8,2.7,1.3,1.3,1.8,2.2
99,170,Malawi,6.7,7.0,7.7,6.7,6.5,6.4,6.4,6.6,6.7
100,59,Malaysia,3.1,3.0,3.5,3.4,3.1,3.0,3.1,2.9,2.9
101,105,Maldives,11.3,11.5,13.4,11.7,11.5,11.2,10.9,11.6,11.8
102,175,Mali,8.4,9.0,9.6,7.3,6.9,6.9,7.3,8.2,8.5
103,33,Malta,6.5,6.3,6.9,6.8,6.4,6.3,6.4,5.9,5.4
104,157,Mauritania,31.9,31.6,32.1,30.9,30.9,30.8,30.8,30.9,31.1
105,64,Mauritius,9.1,8.8,9.6,7.7,7.9,8.7,7.6,7.7,7.9
106,77,Mexico,6.9,2.6,3.5,5.2,5.2,4.8,5.0,4.9,4.3
107,107,Moldova (Republic of),6.8,8.5,7.3,7.4,6.7,5.6,5.1,3.9,5.0
108,92,Mongolia,6.9,6.1,6.7,6.5,4.8,8.2,7.9,7.3,7.1
109,48,Montenegro,19.3,19.2,19.3,19.7,19.7,19.6,19.5,18.0,18.2
110,123,Morocco,12.7,13.6,11.0,9.1,8.9,9.0,9.2,9.9,9.6
111,181,Mozambique,22.4,22.2,21.6,22.1,22.3,22.6,22.6,22.3,22.3
112,145,Myanmar,4.8,5.6,5.4,4.2,4.2,4.4,4.5,4.6,4.7
113,125,Namibia,19.5,20.3,23.9,22.1,24.7,27.4,29.6,26.9,25.5
114,144,Nepal,3.3,2.1,2.8,2.6,3.5,2.6,3.3,3.1,3.1
115,7,Netherlands,7.2,2.7,4.7,4.5,4.4,5.3,6.7,6.8,6.1
116,13,New Zealand,6.5,6.1,3.8,6.5,6.5,6.9,6.3,5.8,5.9
117,124,Nicaragua,16.9,9.8,5.6,8.0,7.5,6.8,5.3,5.6,6.0
118,187,Niger,5.1,3.6,3.1,2.4,2.4,2.3,2.4,2.7,2.8
119,152,Nigeria,7.1,7.2,7.3,7.3,7.3,7.6,7.1,4.8,5.8
120,1,Norway,6.3,3.5,4.4,3.5,3.2,3.1,3.4,3.5,4.1
121,52,Oman,5.8,7.1,7.0,6.6,6.5,6.4,6.2,6.3,6.3
122,147,Pakistan,5.0,7.2,7.1,5.3,5.7,5.7,6.0,5.6,5.4
123,114,"Palestine, State of",23.8,14.1,23.6,23.7,21.0,23.0,23.3,26.9,25.9
124,60,Panama,14.0,13.5,9.8,6.5,4.5,4.0,4.1,4.8,5.2
125,154,Papua New Guinea,2.8,2.9,3.4,3.6,3.9,3.6,3.4,3.3,3.1
126,110,Paraguay,3.4,7.6,5.8,5.7,4.3,4.9,5.0,6.0,4.9
127,87,Peru,4.7,3.8,5.2,4.0,3.9,3.6,4.0,3.3,3.5
128,116,Philippines,8.4,11.2,7.7,7.3,7.0,7.0,7.1,6.6,6.7
129,36,Poland,13.3,16.3,17.7,9.6,9.6,10.1,10.3,9.0,7.4
130,41,Portugal,7.1,3.8,7.6,10.8,12.7,15.5,16.2,13.9,12.1
131,33,Qatar,0.1,0.9,1.0,0.4,0.6,0.5,0.3,0.2,0.2
132,50,Romania,8.0,7.0,7.2,7.0,7.2,6.8,7.1,6.8,6.9
133,49,Russian Federation,9.4,10.6,7.1,7.3,6.5,5.5,5.5,5.2,5.8
134,159,Rwanda,0.8,2.3,2.5,2.2,2.7,3.4,3.4,2.7,2.4
135,92,Saint Lucia,15.9,16.5,18.7,20.6,18.9,19.1,22.2,20.8,20.1
136,99,Saint Vincent and the Grenadines,21.3,22.4,19.4,19.1,18.6,18.4,18.1,19.7,20.0
137,104,Samoa,5.7,3.8,4.7,2.1,5.7,8.7,8.6,6.6,5.8
138,142,Sao Tome and Principe,14.1,14.4,14.8,13.8,13.9,13.6,13.6,13.9,14.0
139,38,Saudi Arabia,5.8,4.6,5.8,5.6,5.8,5.6,5.6,5.9,5.8
140,162,Senegal,9.0,9.9,8.5,9.3,10.4,10.3,10.3,9.7,9.3
141,66,Serbia,13.4,12.6,20.8,19.2,23.0,23.9,22.1,18.9,19.0
142,179,Sierra Leone,3.5,3.1,3.4,3.4,3.4,3.3,3.2,3.4,3.4
143,5,Singapore,2.2,3.7,4.1,3.1,2.9,2.8,2.8,2.8,3.3
144,40,Slovakia,13.1,19.1,16.3,14.4,13.6,14.0,14.2,13.2,11.3
145,25,Slovenia,7.2,6.9,6.5,7.2,8.2,8.8,10.1,9.7,9.3
146,156,Solomon Islands,38.7,24.3,39.7,35.6,39.5,34.2,33.2,33.9,34.8
147,0,Somalia,7.4,7.5,7.5,7.5,7.5,7.5,7.6,7.5,7.5
148,119,South Africa,16.9,26.7,23.8,24.7,24.6,24.7,24.6,24.9,25.1
149,27,Spain,22.7,13.8,9.1,19.9,21.4,24.8,26.1,24.4,22.4
150,73,Sri Lanka,12.2,7.7,7.7,4.9,4.2,4.0,4.4,4.3,4.7
151,165,Sudan,14.5,14.4,14.0,13.0,12.9,12.9,13.0,13.3,13.6
152,97,Suriname,8.4,10.9,8.5,7.6,6.9,6.3,4.8,6.9,7.8
153,148,Swaziland,21.7,22.9,25.5,28.0,27.7,27.4,27.1,26.1,25.6
154,14,Sweden,8.9,5.5,7.5,8.6,7.8,8.0,8.1,8.0,7.4
155,2,Switzerland,3.3,2.7,4.4,4.5,4.0,4.2,4.4,4.5,4.3
156,149,Syrian Arab Republic,7.2,9.6,9.2,8.4,14.9,14.7,14.6,13.2,12.3
157,129,Tajikistan,12.2,11.8,11.8,11.6,11.3,11.0,11.0,10.9,10.9
158,151,Tanzania (United Republic of),4.4,3.9,3.2,2.9,3.5,3.2,2.9,3.1,3.2
159,87,Thailand,1.2,2.4,1.3,1.0,0.7,0.7,0.8,0.8,1.1
160,82,The former Yugoslav Republic of Macedonia,31.5,32.2,37.3,32.0,31.4,31.0,29.0,28.0,26.9
161,133,Timor-Leste,5.1,7.0,6.7,3.9,3.6,3.7,3.6,4.4,5.0
