,HDI Rank,Country,2010,2011,2012,2013,2014,2015
53,23,Finland,0.772,0.804,0.810,0.821,0.829,0.830
54,21,France,0.739,0.741,0.743,0.754,0.766,0.776
55,109,Gabon,0.556,0.560,0.564,0.473,0.473,0.473
56,173,Gambia,0.186,,,,,
57,70,Georgia,0.739,0.753,0.753,0.756,0.768,0.777
58,4,Germany,0.878,0.886,0.889,0.888,0.892,0.891
59,139,Ghana,0.488,0.318,0.323,0.356,0.346,0.358
60,29,Greece,0.756,0.693,0.727,0.733,0.733,0.733
61,125,Guatemala,0.292,0.300,0.290,0.293,0.324,0.324
62,183,Guinea,0.165,0.176,0.183,0.189,0.171,0.171
63,178,Guinea-Bissau,0.201,0.204,0.206,0.209,0.211,0.211
64,127,Guyana,0.504,0.503,0.508,0.512,0.512,0.508
65,163,Haiti,0.237,0.241,0.246,0.250,0.260,0.263
66,130,Honduras,0.347,0.346,0.362,0.359,0.381,0.391
67,43,Hungary,0.785,0.784,0.783,0.812,0.808,0.808
68,9,Iceland,0.831,0.845,0.861,0.875,0.885,0.884
69,131,India,0.284,0.292,0.292,0.298,0.304,0.324
70,113,Indonesia,0.463,0.477,0.486,0.474,0.493,0.493
71,69,Iran (Islamic Republic of),,,,0.440,0.441,0.441
72,121,Iraq,,,0.339,0.351,0.347,0.347
73,8,Ireland,0.878,0.834,0.850,0.848,0.861,0.883
74,19,Israel,0.784,0.790,0.792,0.797,0.784,0.796
75,26,Italy,0.688,0.700,0.685,0.701,0.718,0.734
76,94,Jamaica,0.617,0.618,0.603,0.604,0.639,0.640
77,17,Japan,,,,0.669,0.675,0.675
78,86,Jordan,0.520,0.535,0.539,0.539,0.583,0.583
79,56,Kazakhstan,0.740,0.749,0.746,0.755,0.758,0.758
80,146,Kenya,0.363,0.356,0.357,0.358,0.383,0.400
81,137,Kiribati,,,,0.464,0.464,0.464
82,18,Korea (Republic of),0.638,0.641,0.641,0.623,0.646,0.645
83,120,Kyrgyzstan,0.612,0.619,0.659,0.666,0.685,0.685
84,138,Lao People's Democratic Republic,0.296,0.308,0.313,0.306,0.312,0.313
85,44,Latvia,0.805,0.791,0.786,0.797,0.806,0.803
86,76,Lebanon,,0.489,0.498,0.498,0.498,0.498
87,160,Lesotho,0.369,0.377,0.382,0.379,0.380,0.380
88,177,Liberia,0.215,0.218,0.222,0.225,0.227,0.242
89,37,Lithuania,0.837,0.836,0.825,0.824,0.830,0.833
90,20,Luxembourg,0.732,0.731,0.730,0.732,0.736,0.738
91,158,Madagascar,0.335,0.341,0.344,0.344,0.320,0.320
92,170,Malawi,0.285,0.288,0.309,0.310,0.311,0.320
93,105,Maldives,0.438,0.302,0.312,0.323,0.336,0.337
94,175,Mali,0.174,0.178,0.184,0.191,0.182,0.182
95,33,Malta,,,0.684,0.727,0.724,0.734
96,157,Mauritania,0.192,0.196,0.209,0.202,0.223,0.223
97,64,Mauritius,,0.589,0.602,0.611,0.629,0.629
98,77,Mexico,0.516,0.494,0.501,0.505,0.521,0.525
99,127,Micronesia (Federated States of),0.503,0.503,,,,
100,107,Moldova (Republic of),0.645,0.658,0.668,0.679,0.672,0.672
101,92,Mongolia,0.690,0.691,0.670,0.698,0.668,0.668
102,48,Montenegro,0.713,0.773,0.775,0.777,0.738,0.738
103,123,Morocco,0.259,0.254,0.264,0.268,0.273,0.273
104,181,Mozambique,0.266,0.298,0.297,0.298,0.243,0.244
105,145,Myanmar,,,,0.331,0.331,0.330
106,125,Namibia,0.380,0.384,0.388,0.392,0.394,0.410
107,144,Nepal,0.251,0.258,0.263,0.265,0.278,0.267
108,7,Netherlands,0.837,0.860,0.861,0.860,0.860,0.859
109,124,Nicaragua,0.347,0.350,0.353,0.357,0.382,0.382
110,187,Niger,0.124,0.115,0.121,0.122,0.134,0.134
111,152,Nigeria,0.238,0.253,0.254,0.260,0.269,0.270
112,1,Norway,0.884,0.888,0.887,0.892,0.895,0.894
113,147,Pakistan,0.195,0.198,0.209,0.212,0.220,0.220
114,60,Palau,,,,0.711,0.711,0.711
115,114,"Palestine, State of",,,,0.609,0.547,0.547
116,60,Panama,0.602,0.548,0.555,0.573,0.576,0.597
117,154,Papua New Guinea,,,,0.374,0.374,0.371
118,110,Paraguay,0.480,0.483,,0.505,0.514,0.527
