,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014
96,175,Mali,,,3.3,4.0,3.9,4.6,4.2,4.0,4.3
97,33,Malta,3.8,,,,6.9,8.0,6.8,,
98,157,Mauritania,,,,,3.6,3.1,3.0,3.3,
99,64,Mauritius,3.2,,3.8,4.2,3.7,3.4,3.5,3.7,5.0
100,77,Mexico,2.3,3.9,4.1,4.9,5.2,5.2,,,
101,127,Micronesia (Federated States of),,,6.7,,,,,,
102,107,Moldova (Republic of),,,4.5,7.2,9.1,8.6,8.3,,7.5
103,0,Monaco,,1.1,1.3,,1.3,1.6,1.8,1.3,1.0
104,92,Mongolia,,,5.5,,4.6,4.6,,,
105,123,Morocco,4.7,5.0,,,,,,,
106,181,Mozambique,,,,4.4,,,6.1,6.5,
107,145,Myanmar,,1.2,,,,,,,
108,125,Namibia,,,7.0,,8.3,,,,
109,144,Nepal,,,3.0,3.4,4.7,,,4.1,4.7
110,7,Netherlands,5.3,4.7,4.6,5.2,5.6,5.5,5.5,5.6,
111,13,New Zealand,,5.7,,6.3,7.1,7.0,7.3,,6.4
112,124,Nicaragua,,,3.0,,4.5,,,,
113,187,Niger,2.9,2.9,3.2,,3.7,4.2,4.3,4.9,6.8
114,1,Norway,6.3,7.7,6.5,6.9,6.8,6.5,7.4,,
115,52,Oman,2.8,3.4,3.2,3.5,,,,5.0,
116,147,Pakistan,2.5,2.8,1.8,2.3,2.3,2.2,2.1,2.5,2.5
117,60,Palau,,,7.8,,,,,,
118,60,Panama,,4.8,5.0,,,3.3,,,
119,110,Paraguay,1.1,,4.6,,3.8,5.0,5.0,,
120,87,Peru,,,3.3,2.9,2.8,2.7,2.9,3.3,3.7
121,116,Philippines,,3.0,3.3,2.4,,,,3.4,
122,36,Poland,,4.4,5.0,5.5,5.1,4.8,4.8,,
123,41,Portugal,3.6,4.6,5.2,5.1,5.4,5.1,,,
124,33,Qatar,,,3.7,4.0,4.5,4.0,3.5,4.0,3.5
125,50,Romania,,,2.9,3.5,3.5,3.0,2.9,,
126,49,Russian Federation,,,2.9,3.8,,,4.2,,
127,159,Rwanda,,,4.1,,5.0,4.7,4.8,5.0,
128,74,Saint Kitts and Nevis,,3.5,4.8,3.9,,,,,
129,92,Saint Lucia,,,,5.1,4.1,4.3,4.0,4.7,4.8
130,99,Saint Vincent and the Grenadines,,,7.9,6.4,5.1,,,,
131,104,Samoa,,,3.6,,,,,,
132,0,San Marino,3.2,3.4,,,2.3,2.4,,,
133,142,Sao Tome and Principe,,,,5.3,9.8,,6.0,5.9,3.9
134,38,Saudi Arabia,,5.7,5.9,5.4,,,,,
135,162,Senegal,,,3.2,5.1,5.6,,,,
136,66,Serbia,,,,,4.6,4.5,4.4,,
137,63,Seychelles,,7.7,,,,3.6,,,
138,179,Sierra Leone,,,4.9,2.8,2.6,2.7,2.9,2.4,2.8
139,5,Singapore,,,3.3,3.2,3.1,3.1,3.1,2.9,
140,40,Slovakia,,4.3,3.9,3.8,4.1,4.0,3.9,4.1,
141,25,Slovenia,,4.9,,5.6,5.6,5.6,5.7,,
142,156,Solomon Islands,,,,,10.0,,,,
143,119,South Africa,5.3,,5.4,5.1,5.7,6.0,6.4,6.0,6.1
144,181,South Sudan,,,,,,0.8,,,
145,27,Spain,3.6,4.4,4.2,4.1,4.8,4.9,4.4,4.3,
146,73,Sri Lanka,2.4,3.0,,,1.7,1.8,1.5,1.6,
147,165,Sudan,,,1.0,1.6,,,,,
148,148,Swaziland,5.5,5.7,5.5,7.4,7.0,8.6,,,
149,14,Sweden,5.3,6.2,6.8,6.6,6.6,6.5,7.7,7.7,
150,2,Switzerland,4.5,5.1,4.8,5.2,4.9,5.0,5.1,,
151,129,Tajikistan,,2.1,2.3,3.5,4.0,3.9,4.0,,
152,151,Tanzania (United Republic of),2.1,,,4.6,4.6,,,,3.5
153,87,Thailand,,3.2,5.3,3.9,3.5,4.8,4.5,4.1,
154,82,The former Yugoslav Republic of Macedonia,,4.5,,,,,,,
155,133,Timor-Leste,,,,,10.5,9.3,6.4,6.0,7.7
156,166,Togo,,,4.5,3.4,4.4,4.4,4.7,4.4,4.8
157,101,Tonga,,,4.9,,,,,,
158,65,Trinidad and Tobago,3.7,3.6,2.8,,,,,,
159,97,Tunisia,5.8,6.4,6.2,6.5,6.3,,6.2,,
160,71,Turkey,,2.3,2.6,,,,,,
161,111,Turkmenistan,,,,,,,3.0,,
162,0,Tuvalu,7.6,,,,,,,,
163,163,Uganda,,,2.5,,2.3,2.7,2.7,2.2,
164,84,Ukraine,,,4.2,6.1,,6.2,6.7,6.7,
165,16,United Kingdom,4.1,4.8,4.3,5.2,5.9,5.8,,5.7,
166,10,United States,4.8,4.9,,5.1,5.4,5.2,,,
167,54,Uruguay,,2.5,2.4,2.7,,4.4,,,
168,134,Vanuatu,,,7.0,,,,,,4.9
169,71,Venezuela (Bolivarian Republic of),2.5,,,,,,,,
170,115,Viet Nam,,,,,6.3,,6.3,,
171,168,Yemen,,,9.7,,,,,,
172,139,Zambia,,1.8,1.8,1.7,,,,,
173,154,Zimbabwe,12.5,,,,2.0,,,,
174,,,,,,,,,,,
