,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014
89,48,Montenegro,,,,72.1,73.8,75.4,76.9,74.8,73.0
90,123,Morocco,59.5,58.9,62.8,35.0,37.6,38.3,39.4,,
91,145,Myanmar,21.0,,,,,,,,
92,125,Namibia,,,56.1,,54.7,53.0,58.7,54.2,
93,144,Nepal,,,,,,,,22.4,
94,7,Netherlands,68.6,70.6,70.4,72.6,71.9,71.6,72.2,74.7,75.3
95,13,New Zealand,64.5,64.9,67.7,70.6,71.9,72.4,72.6,73.0,
96,124,Nicaragua,38.2,39.5,37.9,51.4,51.3,,,,
97,187,Niger,,,,31.1,,,,,
98,1,Norway,69.2,71.3,74.0,75.8,77.7,77.3,77.4,77.2,77.0
99,52,Oman,,,82.2,,57.9,,,,
100,147,Pakistan,28.9,34.6,33.5,36.6,34.2,33.7,,34.1,34.0
101,60,Palau,,75.7,79.1,,,,,,
102,114,"Palestine, State of",,,51.9,59.1,63.6,62.4,61.5,61.1,
103,60,Panama,,61.1,65.7,67.1,63.9,64.4,65.0,,
104,154,Papua New Guinea,,,22.7,,,,,,
105,110,Paraguay,70.3,43.2,51.2,51.9,54.3,55.9,56.1,59.3,58.2
106,87,Peru,71.5,73.3,74.4,70.6,74.7,75.0,74.9,75.8,75.9
107,116,Philippines,39.7,40.3,46.7,48.5,51.8,52.1,52.6,53.4,53.6
108,36,Poland,35.8,45.3,50.9,53.8,56.7,56.5,57.1,57.5,57.9
109,41,Portugal,47.6,56.3,54.9,60.0,64.0,65.2,66.6,68.5,69.5
110,33,Qatar,,,,,,44.5,46.9,46.8,
111,50,Romania,27.4,28.7,32.3,39.1,42.6,44.1,43.9,44.3,44.5
112,49,Russian Federation,45.6,50.0,57.1,60.0,64.4,64.9,64.9,65.3,65.8
113,159,Rwanda,,,,16.4,,,16.2,,
114,92,Saint Lucia,,49.6,57.6,62.5,,,,,
115,104,Samoa,,,,,,50.4,79.9,,
116,0,San Marino,53.7,52.8,,60.2,65.4,,,,
117,142,Sao Tome and Principe,,,52.4,,,,46.9,,
118,38,Saudi Arabia,,,74.0,,,73.2,70.7,70.9,
119,162,Senegal,,,,,,22.4,,,
120,66,Serbia,,,,49.1,51.8,52.0,52.6,52.9,
121,63,Seychelles,,,,,,78.2,,,
122,5,Singapore,61.7,68.8,,77.3,68.9,79.2,79.5,80.1,70.6
123,40,Slovakia,,51.9,55.8,56.2,59.5,59.3,59.1,60.8,60.9
124,25,Slovenia,,46.4,53.4,54.5,59.5,60.4,61.1,61.0,60.2
125,119,South Africa,,,60.7,59.1,70.6,71.1,71.5,71.3,71.9
126,27,Spain,54.7,60.8,62.5,65.1,72.8,74.1,75.1,75.9,76.3
127,73,Sri Lanka,30.0,33.6,,38.4,40.4,40.0,41.5,41.7,43.4
128,165,Sudan,,,,,,40.1,,,
129,97,Suriname,73.3,67.1,,,,,,72.9,
130,14,Sweden,67.2,71.0,72.9,75.6,77.9,77.8,77.9,78.3,79.0
131,2,Switzerland,63.6,67.0,67.8,73.4,71.2,71.4,72.8,73.1,73.9
132,149,Syrian Arab Republic,,41.1,41.0,,53.0,55.3,,,
133,151,Tanzania (United Republic of),,,,,,,,,26.6
134,87,Thailand,23.0,29.4,33.6,37.1,41.0,39.5,39.4,37.5,
135,82,The former Yugoslav Republic of Macedonia,,,,48.2,,51.7,53.2,51.2,51.4
136,133,Timor-Leste,,,,,39.8,,,,
137,65,Trinidad and Tobago,60.5,63.8,64.6,64.3,,,,,
138,97,Tunisia,,,,,48.8,49.6,50.8,50.9,51.5
139,71,Turkey,32.4,34.3,40.0,45.8,50.8,50.1,51.2,51.5,51.9
140,163,Uganda,,,,23.2,,,,20.2,
141,84,Ukraine,15.4,14.0,13.3,56.4,,54.2,54.5,55.2,59.1
142,42,United Arab Emirates,,58.3,58.7,54.5,,,,,
143,16,United Kingdom,64.9,70.2,73.0,76.2,79.0,79.0,79.0,79.3,79.1
144,10,United States,70.7,72.9,74.3,77.8,81.2,,,,
145,54,Uruguay,67.0,68.6,71.3,73.5,67.0,68.0,,69.1,
146,105,Uzbekistan,,34.9,,,,,,,
147,71,Venezuela (Bolivarian Republic of),61.2,62.8,66.5,68.7,68.9,70.0,70.7,71.1,
148,115,Viet Nam,,,22.3,,,,31.5,32.0,
149,168,Yemen,,,,,56.2,,,,
150,139,Zambia,20.8,,22.6,20.6,,,38.3,,
151,154,Zimbabwe,,,,,,25.0,,,
152,,,,,,,,,,,
