,HDI Rank,Country,2000,2005,2010,2011,2012,2013,2014
107,36,Poland,5.4,6.4,3.8,7.4,7.1,6.7,7.0
108,41,Portugal,8.2,6.7,5.8,5.0,5.7,9.2,9.0
109,33,Qatar,,18.4,8.3,7.2,8.9,9.2,6.3
110,50,Romania,12.6,6.4,4.4,6.8,7.3,7.3,4.3
111,49,Russian Federation,6.3,7.5,3.9,5.2,5.1,5.5,5.2
112,159,Rwanda,15.3,22.1,14.7,14.8,11.8,10.5,
113,74,Saint Kitts and Nevis,8.0,,,,,,
114,92,Saint Lucia,12.3,10.2,10.9,6.1,8.7,9.7,12.3
115,99,Saint Vincent and the Grenadines,7.9,5.3,3.9,20.3,4.5,8.2,4.8
116,142,Sao Tome and Principe,,15.8,5.0,50.5,,,
117,38,Saudi Arabia,5.6,4.9,6.1,6.3,6.7,16.1,3.8
118,162,Senegal,14.9,9.8,9.9,4.5,6.6,7.0,8.7
119,66,Serbia,23.7,12.4,8.3,11.4,8.5,,
120,63,Seychelles,9.8,8.7,9.0,5.0,6.6,7.2,
121,179,Sierra Leone,13.7,21.4,10.9,9.0,5.5,4.4,3.3
122,5,Singapore,5.2,6.0,5.7,6.1,2.7,5.8,4.0
123,40,Slovakia,7.4,4.9,8.4,6.9,8.0,7.3,9.2
124,25,Slovenia,4.2,10.0,7.2,12.4,9.3,10.9,9.4
125,119,South Africa,7.1,5.8,5.5,6.3,6.0,7.3,6.2
126,27,Spain,4.6,6.2,5.5,4.5,6.2,7.2,8.4
127,73,Sri Lanka,5.9,5.4,6.8,7.9,9.0,9.1,8.3
128,97,Suriname,,8.5,13.9,15.2,9.4,9.7,
129,14,Sweden,4.3,7.9,7.4,4.4,6.7,6.3,6.7
130,2,Switzerland,6.2,7.4,7.4,6.6,6.6,6.9,6.6
131,151,Tanzania (United Republic of),7.1,5.0,12.0,4.9,4.9,7.0,4.8
132,87,Thailand,3.7,6.0,4.4,6.3,6.5,5.2,2.8
133,82,The former Yugoslav Republic of Macedonia,10.2,10.4,9.7,7.9,7.2,7.9,
134,166,Togo,26.1,25.0,29.8,20.7,16.9,10.9,15.5
135,65,Trinidad and Tobago,12.8,14.3,20.8,14.1,14.8,16.5,
136,97,Tunisia,4.2,7.0,4.1,3.8,7.2,7.3,4.7
137,71,Turkey,19.8,33.5,19.0,23.0,16.0,14.8,12.9
138,163,Uganda,19.0,19.8,18.7,25.7,22.5,18.2,21.8
139,84,Ukraine,8.7,4.7,7.8,6.4,5.1,4.5,3.9
140,16,United Kingdom,7.4,6.6,5.8,7.1,5.7,4.2,5.0
141,10,United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,54,Uruguay,5.1,6.2,10.6,5.3,8.9,6.5,6.4
143,71,Venezuela (Bolivarian Republic of),6.6,11.7,20.9,6.8,6.1,12.3,12.8
144,168,Yemen,,19.5,13.9,12.0,15.3,11.0,
145,139,Zambia,9.2,4.2,5.2,5.7,13.7,3.2,
146,,,,,,,,,
