,HDI Rank,Country,2010,2011,2012,2013,2014,2015
95,76,Lebanon,,0.780,0.782,0.847,0.851,0.850
96,160,Lesotho,0.269,0.286,0.293,0.301,0.305,0.308
97,177,Liberia,0.344,0.383,0.386,0.417,0.421,0.424
98,102,Libya,0.698,0.717,0.716,0.713,0.714,0.671
99,37,Lithuania,0.731,0.749,0.754,0.763,0.766,0.778
100,20,Luxembourg,0.885,0.902,0.907,0.914,0.918,0.927
101,158,Madagascar,0.425,0.502,0.507,0.517,0.522,0.527
102,170,Malawi,0.339,0.357,0.371,0.383,0.395,0.454
103,59,Malaysia,0.766,0.779,0.781,0.799,0.800,0.788
104,105,Maldives,0.730,0.803,0.805,0.800,0.803,0.814
105,175,Mali,0.278,0.303,0.307,0.314,0.318,0.353
106,33,Malta,0.870,0.877,0.879,0.884,0.888,0.892
107,157,Mauritania,0.395,0.416,0.418,0.418,0.420,0.441
108,64,Mauritius,0.729,0.745,0.749,0.757,0.760,0.758
109,77,Mexico,0.757,0.771,0.773,0.776,0.779,0.761
110,127,Micronesia (Federated States of),0.595,0.606,0.608,0.605,0.606,0.608
111,107,Moldova (Republic of),0.666,0.688,0.695,0.702,0.707,0.724
112,92,Mongolia,0.566,0.601,0.607,0.629,0.634,0.636
113,48,Montenegro,0.786,0.795,0.800,0.797,0.799,0.823
114,123,Morocco,0.661,0.679,0.684,0.688,0.691,0.702
115,181,Mozambique,0.278,0.308,0.313,0.320,0.323,0.347
116,145,Myanmar,0.428,0.520,0.523,0.513,0.515,0.525
117,125,Namibia,0.495,0.527,0.534,0.536,0.540,0.543
118,144,Nepal,0.559,0.599,0.605,0.598,0.602,0.618
119,7,Netherlands,0.892,0.898,0.901,0.908,0.911,0.914
120,13,New Zealand,0.890,0.892,0.896,0.903,0.905,0.911
121,124,Nicaragua,0.697,0.715,0.720,0.729,0.733,0.725
122,187,Niger,0.313,0.346,0.354,0.390,0.396,0.418
123,152,Nigeria,0.236,0.274,0.278,0.296,0.299,0.301
124,1,Norway,0.901,0.906,0.908,0.913,0.915,0.918
125,52,Oman,,0.800,0.804,0.809,0.813,0.815
126,147,Pakistan,0.466,0.473,0.476,0.496,0.498,0.479
127,114,"Palestine, State of",,0.700,0.703,0.705,0.707,0.704
128,60,Panama,0.756,0.769,0.771,0.776,0.779,0.786
129,154,Papua New Guinea,0.462,0.485,0.487,0.480,0.482,0.483
130,110,Paraguay,0.644,0.664,0.666,0.656,0.658,0.666
131,87,Peru,0.689,0.706,0.709,0.719,0.723,0.723
132,116,Philippines,0.624,0.624,0.626,0.627,0.629,0.623
133,36,Poland,0.811,0.821,0.825,0.830,0.833,0.841
134,41,Portugal,0.873,0.878,0.883,0.897,0.900,0.905
135,33,Qatar,0.818,0.822,0.825,0.839,0.842,0.843
136,50,Romania,0.738,0.752,0.756,0.765,0.767,0.773
137,49,Russian Federation,0.662,0.674,0.680,0.692,0.695,0.705
138,159,Rwanda,0.337,0.383,0.389,0.469,0.475,0.483
139,92,Saint Lucia,,0.753,0.755,0.761,0.764,0.764
140,99,Saint Vincent and the Grenadines,,0.695,0.697,0.708,0.708,0.712
141,104,Samoa,,0.701,0.704,0.709,0.712,0.716
142,142,Sao Tome and Principe,0.463,0.505,0.506,0.521,0.523,0.524
143,38,Saudi Arabia,0.721,0.733,0.735,0.761,0.763,0.746
144,162,Senegal,0.425,0.478,0.484,0.499,0.504,0.541
145,66,Serbia,0.756,0.766,0.769,0.770,0.773,0.780
146,63,Seychelles,,,,0.751,0.752,0.746
147,179,Sierra Leone,0.241,0.244,0.250,0.228,0.232,0.273
148,5,Singapore,0.918,0.930,0.934,0.939,0.942,0.944
149,40,Slovakia,0.797,0.807,0.811,0.814,0.818,0.822
150,25,Slovenia,0.875,0.881,0.885,0.891,0.894,0.898
151,156,Solomon Islands,0.541,0.576,0.579,0.570,0.573,0.575
152,0,Somalia,,0.280,,0.312,0.315,0.318
153,119,South Africa,0.371,0.391,0.400,0.422,0.428,0.430
154,181,South Sudan,,,,0.321,0.325,0.330
155,27,Spain,0.909,0.915,0.918,0.922,0.926,0.932
156,73,Sri Lanka,0.734,0.759,0.761,0.772,0.775,0.779
157,165,Sudan,0.398,0.438,0.442,0.446,0.450,0.459
158,97,Suriname,0.645,0.661,0.664,0.678,0.679,0.682
159,148,Swaziland,0.278,0.287,0.289,0.290,0.290,0.290
160,14,Sweden,0.911,0.918,0.920,0.924,0.927,0.927
161,2,Switzerland,0.916,0.921,0.924,0.928,0.931,0.934
