,HDI Rank,Country,2000,2005,2010,2011,2012,2013,2014,2015
32,188,Central African Republic,715,655,747,742,751,469 ee,466,482
33,186,Chad,772,637,1478,1443,1522,1516 ee,1563,1581
34,38,Chile,7569,8943,12247,13030,13899,14446 ee,14737,14955
35,90,China,2827,4399,7583,8218,8847,9401 ee,10063,10705
36,95,Colombia,5610,6427,6885,8847,9113,9572 ee,9752,10217
37,160,Comoros,650,649,696,702,711,726 ee,728,715
38,135,Congo,2911,3111,3916,3883,4190,4300 ee,4725,4731
39,176,Congo (Democratic Republic of the),465,493,502,514,533,542 ee,572,599
40,66,Costa Rica,4962,7249,8505,9086,9388,9617 ee,9794,9957
41,45,Croatia,12128,15691,16256,16726,16371,16365 ee,16170,16933
42,68,Cuba,2340,3111,4366,4539,4680,4827 ee,4897,5013
43,33,Cyprus,18591,22384,25694,26125,24255,22979 ee,22792,23447
44,28,Czech Republic,15028,17677,18587,19408,19631,19624 ee,20053,21001
45,171,Côte d'Ivoire,1702,1572,1734,1625,1778,1885 ee,2019,2136
46,5,Denmark,31989,34844,36081,36518,36504,36724 ee,36749,36857
47,172,Djibouti,1017,1203,1620,1681,1749,1823 ee,1912,1981
48,99,Dominican Republic,4642,5931,8375,7559,8097,8392 ee,8925,9279
49,89,Ecuador,4253,5464,7317,7814,8320,8340 ee,8441,8279
50,111,Egypt,2573,2891,3979,4372,4636,4598 ee,4626,4748
51,117,El Salvador,4148,4599,5314,5427,5473,5560 ee,5290,5386
52,135,Equatorial Guinea,10045,18887,16656,16731,17284,14698 ee,13754,17462
53,179,Eritrea,1289,1259,1130,1204,1248,1246 ee,1267,1286
54,30,Estonia,11513,17075,17665,19073,20339,21105 ee,21590,21976
55,174,Ethiopia,470,487,720,784,842,1009 ee,1087,1161
56,91,Fiji,3664,3948,4074,4108,4135,4377 ee,4573,4695
57,23,Finland,27013,32587,33507,33122,33673,32105 ee,32029,32081
58,21,France,26374,28405,30860,31415,31440,31532 ee,31519,31734
59,109,Gabon,12362,12936,12139,12190,13484,14167 ee,15689,15838
60,173,Gambia,1188,1177,1378,1264,1294,1307 ee,1276,1296
61,70,Georgia,2231,2870,4194,4566,5186,5576 ee,5975,6107
62,4,Germany,26453,29535,32718,33944,34580,34306 ee,35357,35868
63,139,Ghana,1846,2099,2530,2770,2889,3097 ee,3101,3200
64,29,Greece,16426,19798,19893,18062,17438,16915 ee,17232,17299
65,125,Guatemala,3323,3579,4074,4143,4920,4931 ee,5026,5132
66,183,Guinea,835,806,841,862,892,890 ee,867,848
67,178,Guinea-Bissau,972,994,1119,1175,1103,1117 ee,1113,1139
68,127,Guyana,2382,2577,3486,3659,3902,4052 ee,4233,4346
69,163,Haiti,1372,1258,1236,1289,1314,1348 ee,1366,1370
70,130,Honduras,1884,2022,2422,2473,2515,2565 ee,2627,2680
71,12,"Hong Kong, China (SAR)",23482,29245,36076,36000,36523,37199 ee,39314,39514
72,43,Hungary,12717,17018,17136,16692,16383,16885 ee,17239,17793
73,9,Iceland,23405,26619,28000,28384,28537,29338 ee,29716,30531
74,131,India,1164,1576,1602,1689,1844,1940 ee,2056,2185
75,113,Indonesia,3267,4054,5396,5652,6009,6232 ee,6436,6666
76,69,Iran (Islamic Republic of),3014,4754,5263,5447,5088,4977 ee,5181,5132
77,121,Iraq,2956,2903,3701,3940,4346,4450 ee,3591,3552
78,8,Ireland,23132,28716,28877,28728,28892,30153 ee,32070,33497
79,19,Israel,18154,18570,21145,22123,21967,22882 ee,23234,23313
80,26,Italy,22363,24130,24313,24393,23673,22986 ee,22738,22910
81,94,Jamaica,5950,6074,6349,6477,6590,6564 ee,6581,6628
82,17,Japan,21633,22329,23277,23585,24180,24817 ee,25184,25381
83,86,Jordan,1816,2224,3210,3185,3163,3191 ee,3210,3203
84,56,Kazakhstan,7083,11213,13677,14139,14720,15949 ee,16400,16359
85,146,Kenya,1695,1788,2074,2146,2178,2236 ee,2291,2357
86,18,Korea (Republic of),13972,15597,18809,19508,20095,20506 ee,20820,21311
87,51,Kuwait,42143,48881,36126,37224,38178,36809 ee,35148,35164
88,120,Kyrgyzstan,1434,1605,1811,1820,1930,2078 ee,2094,2124
89,138,Lao People's Democratic Republic,1912,2459,3271,3447,3678,3934 ee,4187,4408
90,44,Latvia,8579,13656,15025,16253,16966,17689 ee,18243,18822
91,76,Lebanon,4546,4836,7047,6907,6571,6123 ee,5974,5844
92,160,Lesotho,1711,1922,2079,2264,2253,2505 ee,2562,2631
93,177,Liberia,545,426,527,570,565,590 ee,582,575
94,102,Libya,9479,12004,14167,5389,10701,9615 ee,7714,7163
95,37,Lithuania,9459,14112,17571,18659,19728,20748 ee,21635,22144
96,20,Luxembourg,42201,57327,53740,50664,49401,47920 ee,49930,47550
97,158,Madagascar,1176,1132,1135,1115,1100,1094 ee,1101,1091
98,170,Malawi,1269,701,956,971,948,959 ee,982,972
99,59,Malaysia,8645,10312,14139,14792,15240,15867 ee,16276,17168
100,105,Maldives,3205,4687,6206,6603,6663,6853 ee,7191,7155
101,175,Mali,628,735,1053,1101,1180,1235 ee,1296,1349
102,33,Malta,13371,14997,15162,15416,15573,15933 ee,16436,17294
103,157,Mauritania,1072,1246,1494,1498,1543,1599 ee,1626,1608
104,64,Mauritius,6164,6860,9101,9380,9701,9999 ee,10199,10534
105,77,Mexico,8293,9066,9934,10173,10451,10342 ee,10560,10710
106,107,Moldova (Republic of),1930,3140,3767,4014,4105,4486 ee,4660,4462
107,92,Mongolia,4121,5035,5956,6685,7783,8122 ee,8851,8809
108,48,Montenegro,7518,8131,10293,10949,10713,11117 ee,11237,11757
109,123,Morocco,1953,2362,2891,3031,3095,3244 ee,3286,3388
110,181,Mozambique,493,640,824,874,918,952 ee,985,1016
111,145,Myanmar,1013,1790,3053,3202,3398,3648 ee,3941,4182
112,125,Namibia,4537,5441,6561,6830,6910,7396 ee,7725,7973
113,144,Nepal,1078,1416,1713,1744,1808,1855 ee,1938,1979
114,7,Netherlands,31542,34921,29892,30561,30208,29962 ee,29693,30112
115,13,New Zealand,19744,21606,22362,22879,23458,23606 ee,23950,24414
116,124,Nicaragua,1752,2179,2530,2675,2792,2915 ee,3041,3150
117,187,Niger,369,388,437,430,458,462 ee,479,481
118,152,Nigeria,1610,2665,3692,3765,3828,3935 ee,4131,4132
119,1,Norway,45185,55246,55313,55305,56520,56464 ee,59150,59813
120,52,Oman,13349,14485,16335,15173,15390,15809 ee,15816,15703
121,147,Pakistan,852,1065,1324,1324,1363,1387 ee,1382,1497
