,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
37,176,Congo (Democratic Republic of the),5.2,10.0,11.0,11.9,12.8,13.2,13.6,14.1,14.5,14.5 aaa
38,66,Costa Rica,33.2,37.9,42.0,47.9,49.1,50.1,50.7,52.6,54.5,54.5 d
39,45,Croatia,42.3,55.2,68.6,76.9,83.6,85.0,87.3,89.7,92.0,92.0 d
40,68,Cuba,51.9,60.8,65.8,69.8,76.5,77.8,79.1,81.5,83.9,83.9 d
41,33,Cyprus,45.4,53.4,59.1,65.8,72.2,73.2,76.0,77.0,77.0,77.0 d
42,28,Czech Republic,58.4,83.2,99.1,99.8,99.8,99.8,99.9,99.8,99.8,99.8 d
43,171,Côte d'Ivoire,5.5,7.3,9.4,11.8,14.0,14.7,15.3,15.9,16.6,16.6 aaa
44,5,Denmark,58.0,67.1,87.3,,96.1,96.5,95.5,99.7,89.1,89.1 d
45,99,Dominican Republic,25.9,31.4,30.9,39.8,53.3,54.7,55.6,56.5,57.2,57.2 d
46,89,Ecuador,33.3,36.7,37.4,38.6,40.1,42.6,45.1,47.6,48.2,48.2 d
47,111,Egypt,15.4,21.1,28.3,35.2,43.9,46.5,49.2,51.9,54.5,54.5 aaa
48,117,El Salvador,15.1,20.0,26.7,34.2,39.0,36.0,36.8,38.0,39.4,39.4 d
49,30,Estonia,58.5,74.7,85.9,96.0,100.0,100.0,100.0,100.0,100.0,100.0 d
50,174,Ethiopia,,,,3.3,7.0,7.8,8.7,9.7,10.8,10.8 d
51,91,Fiji,30.3,44.4,48.6,55.0,64.3,66.6,69.0,71.5,73.9,73.9 d
52,23,Finland,65.9,86.2,94.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0 d
53,21,France,44.4,57.1,67.6,71.3,76.4,77.2,78.0,78.7,79.7,79.7 d
54,109,Gabon,29.8,36.0,42.7,48.8,53.9,56.0,58.1,60.2,62.3,62.3 aaa
55,173,Gambia,5.5,8.5,9.7,13.2,17.4,19.4,21.3,23.3,25.3,25.3 aaa
56,70,Georgia,83.9,86.2,88.7,91.2,93.7,94.2,94.7,95.4,96.1,96.1 d
57,4,Germany,47.7,60.6,70.3,96.5,96.0,96.3,96.3,96.2,96.4,96.4 d
58,139,Ghana,26.7,32.2,36.8,40.3,45.2,46.9,48.5,50.2,51.8,51.8 d
59,29,Greece,34.9,41.9,48.5,53.9,59.5,60.6,61.6,62.6,63.7,63.7 d
60,125,Guatemala,11.9,13.7,15.5,13.3,18.3,19.8,21.2,22.7,37.4,37.4 d
61,127,Guyana,32.5,40.6,51.4,55.9,60.3,62.3,64.2,66.2,68.1,68.1 aaa
