,HDI Rank,Country,2010,2011,2012,2013,2014,2015
89,37,Lithuania,4.3,4.1,5.0,6.1,5.9,5.6 qqq
90,20,Luxembourg,6.2,6.2,6.3,6.0,6.0,5.8 qqq
91,158,Madagascar,30.8,30.1,30.1,30.1,35.0,35.0 qqq
92,170,Malawi,34.7,34.7,30.2,30.2,30.2,28.2 qqq
93,105,Maldives,11.5,41.2,41.2,41.2,40.0,40.0 qqq
94,175,Mali,36.9,36.9,36.9,36.9,41.6,41.6 qqq
95,33,Malta,,,5.5,5.7,7.3,6.0 qqq
96,157,Mauritania,43.2,43.2,42.1,45.9,40.8,40.8 qqq
97,64,Mauritius,,13.5,13.5,13.2,13.2,13.2 qqq
98,77,Mexico,17.9,21.9,21.9,21.4,19.7,19.7 qqq
99,127,Micronesia (Federated States of),22.4,22.4,,,,
100,107,Moldova (Republic of),7.5,6.1,6.1,6.1,7.3,7.3 qqq
101,92,Mongolia,5.8,5.8,8.9,5.2,9.4,9.4 qqq
102,48,Montenegro,9.6,2.5,2.5,2.5,7.4,7.4 qqq
103,123,Morocco,42.7,45.8,45.8,45.8,45.8,45.8 qqq
104,181,Mozambique,28.2,18.2,18.2,18.2,33.8,33.8 qqq
105,145,Myanmar,,,,19.4,19.4,19.4 qqq
106,125,Namibia,27.8,27.8,27.8,27.8,27.8,25.0 qqq
107,144,Nepal,43.3,43.6,43.6,44.0,41.4,43.9 qqq
108,7,Netherlands,4.0,3.9,3.9,4.1,4.1,4.2 qqq
109,124,Nicaragua,33.3,33.3,33.3,33.3,29.5,29.5 qqq
110,187,Niger,31.3,39.5,39.5,39.5,35.0,35.0 qqq
111,152,Nigeria,46.0,44.2,45.2,45.2,43.3,43.3 qqq
112,1,Norway,2.4,2.2,2.2,2.4,2.3,2.4 qqq
113,147,Pakistan,46.4,46.4,45.2,45.2,44.4,44.4 qqq
114,60,Palau,,,,12.0,12.0,12.0 qqq
115,114,"Palestine, State of",,,,6.9,16.5,16.5 qqq
116,60,Panama,9.9,17.8,17.8,16.3,16.6,13.6 qqq
117,154,Papua New Guinea,,,,11.5,11.5,11.5 qqq
118,110,Paraguay,19.8,19.8,,17.2,16.2,14.0 qqq
119,87,Peru,30.2,24.0,24.6,25.6,23.3,20.3 qqq
