,HDI Rank,Country,1990,1995,2000,2005,2010,2015
39,135,Congo,17.9,18.4,18.9,18.9,18.9,18.7
40,176,Congo (Democratic Republic of the),17.1,16.8,16.6,16.6,16.7,16.9
41,66,Costa Rica,23.1,24.3,25.6,27.4,29.2,31.4
42,45,Croatia,35.8,37.9,38.9,40.5,41.7,42.8
43,68,Cuba,27.7,30.2,32.8,35.6,38.6,41.2
44,33,Cyprus,29.9,31.0,31.8,32.9,34.2,35.9 bb
45,28,Czech Republic,35.3,36.1,37.4,38.7,39.6,41.5
46,171,Côte d'Ivoire,17.6,18.0,18.1,17.9,18.0,18.4
47,5,Denmark,37.2,37.7,38.4,39.5,40.6,41.6
48,172,Djibouti,17.5,18.0,19.1,20.2,22.0,23.6
49,99,Dominican Republic,20.2,21.3,22.4,23.6,24.8,26.1
50,89,Ecuador,20.5,21.6,22.8,23.9,25.2,26.6
51,111,Egypt,19.8,20.1,21.3,22.6,23.9,24.7
52,117,El Salvador,19.7,21.1,22.2,23.4,24.8,26.7
53,135,Equatorial Guinea,21.7,20.9,19.2,19.3,19.9,20.5
54,179,Eritrea,16.4,15.2,16.5,18.1,18.5,18.6
55,30,Estonia,34.4,36.4,38.0,39.4,40.2,41.7
56,174,Ethiopia,16.8,16.7,16.6,16.8,17.5,18.6
57,91,Fiji,20.9,21.6,22.1,25.3,26.5,27.6
58,23,Finland,36.4 i,37.8 i,39.4 i,40.9 i,42.0 i,42.5 i
59,21,France,35.0,36.4,37.8,39.0,40.1,41.2
60,109,Gabon,19.4,19.2,19.5,20.0,20.8,21.4
61,173,Gambia,17.0,16.6,16.9,16.8,16.7,16.8
62,70,Georgia,31.2 v,32.6 v,34.4 v,35.8 v,36.7 v,37.5 v
63,4,Germany,37.6,38.4,40.1,42.3,44.3,46.2
64,139,Ghana,17.8,18.4,18.9,19.5,20.1,20.6
65,29,Greece,36.1,37.1,38.4,39.7,41.3,43.6
66,79,Grenada,20.4,20.9,21.8,23.3,25.0,27.2
67,125,Guatemala,17.1,17.5,18.1,18.9,19.9,21.2
68,183,Guinea,18.2,17.9,17.8,17.8,18.1,18.5
69,178,Guinea-Bissau,17.8,17.6,17.9,18.4,18.9,19.4
70,127,Guyana,21.7,22.0,22.7,23.6,24.5,24.7
71,163,Haiti,18.5,18.5,19.1,20.3,21.6,23.0
72,130,Honduras,17.1,17.6,18.4,19.6,21.3,23.4
73,12,"Hong Kong, China (SAR)",30.9,33.6,36.5,39.2,41.1,43.2
74,43,Hungary,36.4,37.5,38.6,39.1,39.9,41.3
75,9,Iceland,30.0,31.5,32.8,34.3,34.9,36.0
76,131,India,21.1,21.8,22.7,23.8,25.1,26.6
77,113,Indonesia,21.3,22.8,24.4,25.6,27.2,28.4
78,69,Iran (Islamic Republic of),17.2,18.5,20.8,24.1,26.9,29.5
79,121,Iraq,16.8,17.5,18.2,18.7,18.9,19.3
80,8,Ireland,28.3,30.1,31.8,33.3,34.6,36.9
81,19,Israel,25.9,27.3,28.0,28.7,30.1,30.3
82,26,Italy,37.0,38.6,40.4,42.0,43.8,45.9
83,94,Jamaica,22.0,23.3,24.7,26.0,27.3,29.1
84,17,Japan,37.4,39.6,41.3,43.0,44.9,46.5
85,86,Jordan,16.5,19.1,19.5,20.8,21.7,22.5
86,56,Kazakhstan,26.0,27.0,27.7,28.5,28.8,29.3
87,146,Kenya,15.5,16.5,17.4,18.0,18.5,18.9
88,137,Kiribati,20.4,19.6,19.7,20.8,21.6,22.4
89,0,Korea (Democratic People's Rep. of),25.1,27.4,29.5,31.6,33.1,33.9
90,18,Korea (Republic of),27.0,29.5,32.1,34.9,37.8,40.6
91,51,Kuwait,22.8,26.9,27.6,28.1,28.8,31.0
92,120,Kyrgyzstan,21.6,21.5,22.5,23.8,24.0,25.1
93,138,Lao People's Democratic Republic,17.7,17.7,18.1,19.0,20.3,21.9
94,44,Latvia,34.6,36.3,37.9,39.9,41.2,42.9
95,76,Lebanon,23.2,24.5,26.3,26.5,28.5,28.5
96,160,Lesotho,17.7,18.5,18.7,19.3,20.1,21.0
97,177,Liberia,17.4,17.8,18.1,18.2,18.3,18.6
98,102,Libya,18.5,20.4,22.5,24.5,26.1,27.5
99,37,Lithuania,32.7,34.0,36.0,38.5,40.6,43.1
100,20,Luxembourg,36.4,36.7,37.3,38.5,38.9,39.3
101,158,Madagascar,17.2,17.4,17.3,17.5,18.0,18.7
102,170,Malawi,17.0,16.7,16.4,16.5,16.7,17.2
103,59,Malaysia,21.6 t,22.5 t,23.8 t,25.2 t,26.3 t,28.5 t
104,105,Maldives,16.2,16.7,18.6,21.4,23.9,26.4
105,175,Mali,16.5,16.5,16.6,16.6,16.4,16.2
106,33,Malta,32.1,34.0,35.9,38.3,40.1,41.5
107,157,Mauritania,17.5,17.8,18.3,18.9,19.3,19.8
108,64,Mauritius,24.9 h,26.8 h,29.0 h,30.5 h,32.9 h,35.2 h
109,77,Mexico,19.5,21.2,22.7,24.2,25.8,27.4
110,127,Micronesia (Federated States of),17.6,17.8,18.9,19.5,20.2,21.5
111,107,Moldova (Republic of),29.9 x,30.8 x,31.3 x,32.4 x,34.2 x,35.6 x
112,92,Mongolia,19.3,20.3,22.0,24.0,25.7,27.3
113,48,Montenegro,29.8,32.2,34.4,35.0,36.3,37.6
114,123,Morocco,19.8,21.1,22.7,24.5,26.4,28.0
115,181,Mozambique,16.2,17.4,17.4,17.1,16.9,17.1
116,145,Myanmar,20.8,22.1,23.5,24.8,26.4,27.9
117,125,Namibia,17.8,18.6,19.5,19.6,20.2,21.2
118,144,Nepal,18.7,19.0,19.3,20.0,21.2,23.1
119,7,Netherlands,34.5,35.9,37.5,39.1,41.2,42.7
120,13,New Zealand,31.1,32.6,34.3,35.5,36.5,38.0
121,124,Nicaragua,16.9,18.0,19.4,21.2,23.1,25.2
122,187,Niger,16.2,16.2,16.1,15.5,15.0,14.8
123,152,Nigeria,17.5,17.7,18.0,18.0,18.0,17.9
124,1,Norway,35.4 j,36.1 j,36.9 j,37.9 j,38.7 j,39.1 j
125,52,Oman,17.9,20.7,21.0,22.4,26.0,29.0
126,147,Pakistan,18.5,18.6,19.2,20.2,21.4,22.5
127,114,"Palestine, State of",15.7 w,15.7 w,16.0 w,17.0 w,18.1 w,19.3 w
128,60,Panama,21.7,23.1,24.5,26.0,27.4,28.7
129,154,Papua New Guinea,18.3,19.1,19.6,20.0,20.5,21.2
130,110,Paraguay,19.4,19.7,20.5,21.9,23.3,24.9
131,87,Peru,20.4,21.5,22.8,24.3,25.9,27.5
132,116,Philippines,19.2,19.8,20.5,21.2,23.3,24.2
133,36,Poland,32.3,33.8,35.4,36.8,38.1,39.6
134,41,Portugal,34.3,36.0,37.9,39.4,41.7,44.0
135,33,Qatar,28.7,29.5,30.3,30.6,31.6,30.7
136,50,Romania,32.6,33.9,34.9,37.0,39.9,42.1
137,49,Russian Federation,33.4,35.0,36.5,37.3,38.0,38.7
138,159,Rwanda,15.1,17.5,17.0,18.0,18.7,19.2
139,92,Saint Lucia,21.4,23.1,24.3,25.8,29.5,31.2
140,99,Saint Vincent and the Grenadines,20.4,22.3,24.2,26.3,27.9,29.8
141,104,Samoa,18.7,19.1,19.5,20.3,20.8,21.2
142,142,Sao Tome and Principe,16.1,16.7,17.5,17.8,18.2,18.5
143,38,Saudi Arabia,19.5,19.6,22.2,24.2,26.0,28.3
144,162,Senegal,16.3,16.8,17.2,17.6,17.9,18.0
145,66,Serbia,33.2 y,34.1 y,35.9 y,37.0 y,39.3 y,40.6 y
146,63,Seychelles,21.9,24.5,26.3,29.0,31.2,32.6
147,179,Sierra Leone,17.9,17.6,17.6,17.8,18.1,18.5
148,5,Singapore,29.3,31.8,34.1,35.8,37.3,40.0
149,40,Slovakia,31.2,32.5,33.9,35.4,37.2,39.1
150,25,Slovenia,34.1,36.2,38.1,40.0,41.5,43.1
151,156,Solomon Islands,16.9,17.9,18.7,19.1,19.5,19.9
152,0,Somalia,17.5,17.1,16.4,16.1,16.1,16.5
153,119,South Africa,20.1,21.7,22.7,23.4,24.3,25.7
154,181,South Sudan,17.8,17.7,17.6,17.7,18.1,18.6
155,27,Spain,33.4 z,35.5 z,37.6 z,39.0 z,40.6 z,43.2 z
156,73,Sri Lanka,24.2,25.8,27.6,28.9,30.4,32.3
157,165,Sudan,17.1,17.5,17.9,18.2,18.7,19.4
158,97,Suriname,22.8,23.8,24.6,26.3,27.5,29.0
159,148,Swaziland,15.9,16.1,17.2,18.1,19.3,20.5
160,14,Sweden,38.3,38.5,39.4,40.2,40.7,41.0
161,2,Switzerland,36.9,37.2,38.6,40.1,41.6,42.3
162,149,Syrian Arab Republic,16.4,17.6,18.8,19.8,21.8,20.8
163,129,Tajikistan,18.1,17.9,18.2,19.6,21.4,22.5
164,151,Tanzania (United Republic of),16.9 s,17.1 s,17.3 s,17.3 s,17.3 s,17.3 s
165,87,Thailand,24.3,26.6,30.2,32.2,35.5,38.0
166,82,The former Yugoslav Republic of Macedonia,29.2,30.4,32.1,34.0,35.8,37.5
167,133,Timor-Leste,19.6,19.6,15.0,15.8,18.9,18.5
168,166,Togo,16.8,16.9,17.5,18.0,18.4,18.7
169,101,Tonga,19.7,19.9,20.0,21.1,21.3,21.3
170,65,Trinidad and Tobago,24.1,25.7,27.8,29.9,31.9,33.9
171,97,Tunisia,21.3,23.1,25.1,27.2,29.2,31.2
172,71,Turkey,21.8,23.2,24.7,26.4,28.2,29.8
173,111,Turkmenistan,19.7,20.2,21.6,22.9,24.5,26.4
174,163,Uganda,15.9,15.6,15.3,15.3,15.5,15.9
175,84,Ukraine,35.4 iii,36.5 iii,37.9 iii,39.1 iii,39.7 iii,40.3 iii
176,42,United Arab Emirates,26.7,27.9,28.2,29.5,31.1,33.3
177,16,United Kingdom,35.8,36.4,37.6,38.7,39.4,40.0
178,10,United States,32.8,34.1,35.3,36.3,37.2,38.0
179,54,Uruguay,30.7,31.1,31.6,32.6,33.7,34.9
180,105,Uzbekistan,19.4,19.9,21.1,22.9,24.5,26.3
181,134,Vanuatu,18.1,18.5,18.9,19.8,21.2,22.2
182,71,Venezuela (Bolivarian Republic of),21.0,22.0,23.1,24.4,25.9,27.4
183,115,Viet Nam,21.0,22.2,24.2,26.4,28.5,30.4
184,168,Yemen,14.3,14.9,15.6,16.7,18.0,19.3
185,139,Zambia,16.2,16.3,16.5,16.5,16.5,16.9
186,154,Zimbabwe,16.8,17.3,17.8,18.1,18.5,18.9
187,,,,,,,,
