,HDI Rank,Country,2000,2005,2010,2011,2012,2013,2014
87,64,Mauritius,4.3,4.3,4.9,4.8,4.7,4.8,4.9
88,77,Mexico,3.3,3.4,3.5,3.6,3.7,3.7,3.7
89,107,Moldova (Republic of),8.7,5.3,4.7,4.7,4.7,4.8,
90,92,Mongolia,4.1,4.2,4.9,4.8,,,
91,48,Montenegro,,5.7,5.6,5.6,,,
92,123,Morocco,5.5,5.5,5.7,5.7,5.7,5.8,5.7
93,181,Mozambique,7.7,7.7,8.5,8.6,8.6,,
94,145,Myanmar,8.1,8.3,8.9,8.7,8.4,8.5,
95,125,Namibia,2.9,3.0,3.4,3.4,3.4,3.5,
96,144,Nepal,8.7,8.4,9.2,9.4,9.2,9.4,9.5
97,7,Netherlands,1.8,1.4,1.4,1.4,1.4,1.4,1.4
98,13,New Zealand,1.9,1.9,2.0,2.0,2.0,,
99,124,Nicaragua,3.8,4.0,4.3,4.4,4.4,4.5,4.5
100,187,Niger,7.0,7.4,7.0,7.0,7.1,7.3,7.2
101,152,Nigeria,6.3,6.5,6.4,6.3,6.2,6.3,
102,1,Norway,1.7,1.6,1.5,1.5,1.5,1.5,1.5
103,52,Oman,2.9,3.0,3.3,3.3,3.2,3.3,3.3
104,147,Pakistan,6.3,6.4,6.9,7.4,7.3,7.4,7.1
105,60,Panama,,2.7,2.9,2.8,2.9,3.0,3.0
106,110,Paraguay,3.6,3.8,4.4,4.6,4.3,4.3,
107,87,Peru,3.7,3.6,3.8,3.8,3.8,3.9,3.9
108,116,Philippines,9.0,8.6,8.8,6.8,6.8,6.8,6.8
109,36,Poland,2.8,2.7,2.7,2.7,2.6,2.7,2.6
110,41,Portugal,2.8,2.7,2.5,2.5,2.5,2.5,2.5
111,33,Qatar,,1.7,1.7,1.8,1.8,1.8,1.8
112,50,Romania,4.8,4.4,4.0,3.9,3.9,3.9,3.7
113,49,Russian Federation,4.3,4.1,4.2,4.2,4.2,4.3,4.3
114,159,Rwanda,7.0,7.9,8.1,8.0,8.4,8.6,
115,74,Saint Kitts and Nevis,2.7,2.6,2.7,2.8,2.8,2.8,2.9
116,92,Saint Lucia,3.5,3.5,3.4,3.3,3.4,3.5,3.4
117,99,Saint Vincent and the Grenadines,3.4,3.5,3.6,3.3,3.3,3.4,3.4
118,142,Sao Tome and Principe,7.7,7.3,8.2,9.1,,,
119,38,Saudi Arabia,2.4,2.5,2.7,2.6,2.6,2.9,
120,162,Senegal,7.6,8.1,8.2,8.2,8.2,8.3,8.4
121,66,Serbia,4.8,4.1,3.9,4.0,,,
122,63,Seychelles,6.2,5.9,6.6,6.6,6.5,6.7,
123,179,Sierra Leone,6.2,6.7,6.3,6.6,6.8,6.8,6.8
124,5,Singapore,1.1,1.1,1.1,1.0,1.0,1.0,1.0
125,40,Slovakia,3.1,2.7,2.5,2.6,2.6,2.6,2.6
126,25,Slovenia,2.1,2.0,2.1,2.2,2.2,2.2,2.2
127,119,South Africa,2.1,2.3,2.9,3.0,3.0,3.0,3.0
128,27,Spain,2.1,2.1,2.0,2.0,2.0,2.0,2.0
129,73,Sri Lanka,8.4,8.6,7.0,7.1,6.8,7.0,6.9
130,97,Suriname,5.8,6.0,6.3,6.2,6.2,6.2,
131,14,Sweden,1.4,1.4,1.4,1.4,1.4,1.5,1.5
