,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014
96,50,Romania,,37.0,45.0,33.7,33.8,32.0,32.1,31.5,30.9
97,49,Russian Federation,,2.0,7.7,6.2,5.5,5.8,5.7,6.0,
98,159,Rwanda,,,,,,,77.7,,
99,92,Saint Lucia,,25.5,28.7,,,,,,
100,99,Saint Vincent and the Grenadines,,,,,,,,,
101,104,Samoa,,,,,,38.1,30.9,,
102,162,Senegal,,,,,,58.0,,,
103,66,Serbia,,,,24.4,28.6,26.2,26.4,28.6,
104,63,Seychelles,,,,,,10.4,,,
105,5,Singapore,,,,,9.2,9.6,9.3,8.7,
106,40,Slovakia,,4.5,5.4,9.4,12.4,12.4,12.4,12.4,12.2
107,25,Slovenia,,13.3,12.4,11.9,13.5,13.2,12.8,13.6,15.1
108,119,South Africa,,,,,10.2,10.0,10.0,9.3,
109,27,Spain,22.5,20.2,14.5,12.9,11.2,11.2,12.1,12.8,12.5
110,73,Sri Lanka,43.0,37.7,41.4,37.6,41.9,42.2,40.7,43.1,
111,97,Suriname,,13.3,,,,,,12.9,
112,14,Sweden,,8.4,7.1,6.9,7.0,6.8,6.7,6.8,6.7
113,2,Switzerland,,9.2,9.7,9.6,9.1,9.4,9.1,9.1,9.1
114,149,Syrian Arab Republic,,,,,36.8,32.9,,,
115,129,Tajikistan,,,,,,,,,
116,151,Tanzania (United Republic of),,,,,,85.6,,74.0,
117,87,Thailand,70.3,61.4,57.1,53.1,52.7,53.5,53.5,55.9,
118,82,The former Yugoslav Republic of Macedonia,,,21.4,22.4,23.1,22.5,22.1,23.4,22.8
119,133,Timor-Leste,,,,,69.6,,,,
120,166,Togo,,,,,,,,,
121,65,Trinidad and Tobago,21.7,20.8,17.7,15.6,16.5,,,15.6,
122,97,Tunisia,,,,31.0,31.5,28.8,21.6,,
123,71,Turkey,,,,,33.8,33.1,32.1,31.3,29.4
124,163,Uganda,,,,80.6,,,,78.9,
125,84,Ukraine,,,,,,18.2,17.8,18.1,
126,42,United Arab Emirates,,,,1.6,,,,,
127,16,United Kingdom,9.2,10.1,9.1,10.1,11.3,11.7,12.1,12.1,12.7
128,54,Uruguay,,,23.3,24.7,22.2,22.9,22.4,22.5,
129,134,Vanuatu,,,,,,,,,
130,71,Venezuela (Bolivarian Republic of),,32.2,36.9,31.2,33.0,32.8,31.8,30.3,
131,115,Viet Nam,,,80.1,,,62.5,62.5,62.6,
132,168,Yemen,,,,,29.6,,,,
133,139,Zambia,64.7,,81.3,81.0,77.3,,79.0,,
134,154,Zimbabwe,,,,,,74.5,65.5,,
135,,,,,,,,,,,
