,HDI Rank,Country,1995,2000,2005,2010,2011,2012,2013,2014
110,127,Micronesia (Federated States of),,21,19,45,35,38,42,35
111,107,Moldova (Republic of),32,18,23,8,9,11,12,11
112,0,Monaco,233,300,286,279,295,292,328,329
113,92,Mongolia,108,137,338,456,460,476,418,393
114,48,Montenegro,,,272,1088,1201,1264,1324,1350
115,123,Morocco,2602,4278,5843,9288,9342,9375,10046,10283
116,181,Mozambique,,,578,1718,1902,2113,1886,1661
117,145,Myanmar,194,416,660,792,816,1059,2044,3081
118,125,Namibia,272,656,778,984,1027,1079,1176,
119,144,Nepal,363,464,375,603,736,803,798,790
120,7,Netherlands,6574,10003,10012,10883,11300,11680,12783,13925
121,13,New Zealand,,1780,2353,2435,2511,2473,2629,2772
122,124,Nicaragua,281,486,712,1011,1060,1180,1229,1330
123,187,Niger,35,50,58,74,82,94,123,135
124,152,Nigeria,656,813,1010,1555,715,486,600,
125,1,Norway,2880,3104,3824,4767,4963,4538,4778,4855
126,52,Oman,,,891,1441,1018,1241,1392,1519
127,147,Pakistan,378,557,798,907,1161,966,,
128,60,Palau,53,58,81,86,109,119,105,141
129,114,"Palestine, State of",,310,88,522,449,490,545,556
130,60,Panama,345,484,702,1324,1473,1606,1658,1745
131,154,Papua New Guinea,42,58,69,140,158,168,174,182
132,110,Paraguay,438,289,341,465,524,579,610,649
133,87,Peru,479,800,1571,2299,2598,2846,3164,3215
134,116,Philippines,1760,1992,2623,3520,3917,4273,4681,4833
135,36,Poland,19215,17400,15200,12470,13350,14840,15800,16000
136,41,Portugal,4572,5599,5769,6756,7264,7503,8097,9092
137,33,Qatar,309,378,913,1700,2057,2346,2611,2826
138,50,Romania,5445,5264,5839,7498,7611,7937,8019,8442
139,49,Russian Federation,10290,21169,22201,22281,24932,28177,30792,32421
140,159,Rwanda,,104,,504,688,815,864,926
141,74,Saint Kitts and Nevis,79,73,141,98,104,104,107,113
142,92,Saint Lucia,231,270,318,306,312,307,319,338
143,99,Saint Vincent and the Grenadines,60,73,96,72,74,74,72,71
