,HDI Rank,Country,1990,1995,2000,2005,2010,2015
74,43,Hungary,20.4,21.1,22.3,22.8,24.4,26.3
75,9,Iceland,16.5,17.5,17.8,17.7,18.1,20.8
76,131,India,6.6,6.9,7.2,7.7,8.0,8.6
77,113,Indonesia,6.3,6.7,7.3,7.3,7.5,7.7
78,69,Iran (Islamic Republic of),6.5,7.0,6.9,7.1,6.9,7.1
79,121,Iraq,7.6,6.9,6.5,6.2,6.0,5.5
80,8,Ireland,18.0,16.7,15.5,15.3,16.4,20.2
81,19,Israel,14.8,15.9,16.2,16.1,16.7,18.4
82,26,Italy,21.5,24.1,26.7,29.3,31.2,35.1
83,94,Jamaica,13.0,12.8,13.2,13.1,13.0,13.6
84,17,Japan,17.1,20.7,25.2,29.9,36.0,43.3
85,86,Jordan,6.5,5.3,5.4,5.8,6.2,6.2
86,56,Kazakhstan,9.3,11.4,10.4,11.3,9.9,10.1
87,146,Kenya,5.6,5.3,5.3,5.1,4.9,5.1
88,137,Kiribati,6.1,6.3,5.9,6.0,5.9,6.0
89,0,Korea (Democratic People's Rep. of),6.3,7.5,8.7,11.0,12.8,13.8
90,18,Korea (Republic of),7.2,8.3,10.2,12.7,15.3,18.0
91,51,Kuwait,2.3,2.7,2.9,3.2,2.5,2.6
92,120,Kyrgyzstan,8.7,9.6,9.2,8.8,6.8,6.6
93,138,Lao People's Democratic Republic,6.8,6.8,6.7,6.6,6.2,6.2
94,44,Latvia,17.8,20.9,22.4,25.2,27.2,29.5
95,76,Lebanon,9.9,10.2,11.1,11.6,12.4,12.0
96,160,Lesotho,8.2,8.0,8.3,8.3,7.4,6.9
97,177,Liberia,5.7,5.7,5.8,5.6,5.7,5.5
98,102,Libya,5.6,5.8,6.0,6.0,6.3,6.9
99,37,Lithuania,16.3,18.6,20.9,23.9,25.8,28.3
100,20,Luxembourg,19.3,20.6,21.0,21.5,20.5,20.1
101,158,Madagascar,5.9,5.8,5.8,5.6,5.3,5.1
102,170,Malawi,5.2,6.0,5.9,6.0,6.3,6.7
103,59,Malaysia,6.1 t,6.1 t,6.1 t,6.7 t,7.2 t,8.4 t
104,105,Maldives,5.6,6.0,6.6,7.2,7.4,6.9
105,175,Mali,7.7,7.3,6.5,5.8,5.4,5.0
106,33,Malta,15.2,16.1,17.2,21.0,23.7,29.0
107,157,Mauritania,6.0,6.0,5.9,5.7,5.6,5.7
108,64,Mauritius,7.1 h,7.7 h,9.0 h,9.6 h,10.8 h,13.4 h
109,77,Mexico,7.5,7.8,8.3,8.6,9.2,9.8
110,127,Micronesia (Federated States of),6.8,6.7,6.7,7.0,6.5,7.1
