,HDI Rank,Country,2000,2005,2010,2011,2012,2013,2014,2015
106,59,Malaysia,21.9,75.6,119.7,127.5,141.3,144.7,148.8,143.9
107,105,Maldives,2.8,68.4,151.8,159.8,165.6,181.2,189.4,206.7
108,175,Mali,0.1,6.4,53.2,75.1,98.4,129.1,149.1,139.6
109,33,Malta,28.1,78.1,107.3,122.4,124.4,129.8,127.0,129.3
110,0,Marshall Islands,0.9,1.3,,,,,29.4,29.2
111,157,Mauritania,0.6,23.7,76.9,89.5,106.0,102.5,94.2,89.3
112,64,Mauritius,15.2,54.2,96.8,104.8,119.9,123.2,132.3,140.6
113,77,Mexico,13.6,42.6,77.5,79.2,83.4,87.3,84.7,85.3
114,127,Micronesia (Federated States of),0.0,13.3,26.6,26.7,30.2,30.3,,
115,107,Moldova (Republic of),3.4,28.9,71.4,90.8,102.0,106.0,108.0,108.0
116,0,Monaco,43.4,50.8,63.5,85.3,88.3,93.7,88.5,88.8
117,92,Mongolia,6.4,22.1,92.5,106.8,120.7,101.4,105.1,105.0
118,48,Montenegro,,88.2,188.7,186.8,159.5,159.9,163.0,162.2
119,123,Morocco,8.2,41.1,101.1,114.0,120.0,128.5,131.7,126.9
120,181,Mozambique,0.3,7.2,30.1,32.0,34.9,48.0,69.8,74.2
121,145,Myanmar,0.0,0.3,1.1,2.4,7.1,12.8,54.0,76.7
122,125,Namibia,4.3,22.1,89.5,99.0,95.0,118.4,113.8,102.1
123,0,Nauru,11.9,,61.8,66.8,67.8,,,
124,144,Nepal,0.0,0.9,34.3,49.2,60.5,76.8,81.9,96.7
125,7,Netherlands,67.8,97.1,115.4,119.0,118.0,116.2,116.4,123.5
126,13,New Zealand,40.0,85.4,107.8,109.2,110.4,105.8,112.1,121.8
127,124,Nicaragua,1.8,20.5,68.1,81.7,97.7,112.0,114.6,116.1
128,187,Niger,0.0,2.5,23.1,28.7,31.4,39.3,44.4,46.5
129,152,Nigeria,0.0,13.3,54.7,58.0,66.8,73.3,77.8,82.2
130,1,Norway,71.8,102.8,114.5,115.8,116.1,116.3,116.1,113.6
131,52,Oman,7.4,52.9,164.3,159.0,159.3,154.6,157.8,159.9
132,147,Pakistan,0.2,8.1,57.3,61.8,67.1,70.1,73.3,66.9
133,60,Palau,,30.4,70.9,75.0,82.6,85.8,90.6,111.5
134,114,"Palestine, State of",0.2,15.9,64.9,70.1,74.3,73.7,72.1,77.6
135,60,Panama,13.4,52.0,180.7,180.1,163.4,160.6,158.1,174.2
136,154,Papua New Guinea,0.2,1.2,27.8,34.2,37.8,41.0,44.9,46.6
137,110,Paraguay,15.3,32.0,91.7,99.3,101.6,103.7,105.6,105.4
138,87,Peru,4.9,20.1,99.5,109.6,98.0,98.1,103.6,109.9
139,116,Philippines,8.3,40.5,89.0,99.1,105.5,104.5,111.2,118.1
140,36,Poland,17.6,76.3,122.9,131.3,141.5,149.1,148.9,148.7
141,41,Portugal,64.7,108.9,115.3,116.4,112.4,113.0,112.1,110.4
142,33,Qatar,20.4,87.3,125.0,120.5,126.9,152.6,145.8,153.6
143,50,Romania,11.2,60.4,111.4,107.4,105.0,105.6,105.9,107.1
144,49,Russian Federation,2.2,83.4,165.5,142.0,145.3,152.8,155.1,160.0
145,159,Rwanda,0.5,2.4,32.7,39.9,49.7,56.8,64.0,70.5
146,74,Saint Kitts and Nevis,2.6,103.8,152.8,145.4,141.8,142.1,118.6,131.8
147,92,Saint Lucia,1.6,63.9,111.7,120.8,119.4,116.3,102.6,101.5
148,99,Saint Vincent and the Grenadines,2.2,64.9,120.6,120.5,116.1,114.6,105.2,103.7
149,104,Samoa,1.4,13.3,48.4,,53.1,52.5,55.5,58.5
150,0,San Marino,53.8,57.6,99.1,114.2,115.2,117.0,118.8,115.2
151,142,Sao Tome and Principe,0.0,7.7,57.6,62.8,65.0,64.9,64.9,65.1
152,38,Saudi Arabia,6.8,57.4,189.2,194.5,187.4,184.2,179.6,176.6
153,162,Senegal,2.5,15.3,64.4,70.2,83.6,92.9,98.8,99.9
154,66,Serbia,,67.0,125.3,130.2,117.8,119.4,122.1,120.5
155,63,Seychelles,32.5,67.5,128.9,137.9,147.8,147.3,162.2,158.1
156,179,Sierra Leone,0.3,,34.8,36.4,37.0,65.7,76.7,89.5
157,5,Singapore,70.1,97.5,145.4,150.1,152.1,155.9,146.9,146.1
158,40,Slovakia,23.1,84.2,109.0,110.0,111.9,113.9,116.9,122.3
159,25,Slovenia,61.1,87.9,103.3,105.2,108.4,110.2,112.1,113.2
160,156,Solomon Islands,0.3,1.3,21.9,51.1,55.0,57.6,65.8,72.7
161,0,Somalia,1.1,5.9,6.7,18.2,22.6,49.4,50.9,52.5
