kpi_name,url
"Violence Against Women Ever Experienced, Intimate Partner",http://hdr.undp.org/en/indicators/167406
"Violence Against Women Ever Experienced, Nonintimate Partner",http://hdr.undp.org/en/indicators/167506
Exports and Imports,http://hdr.undp.org/en/indicators/133206
Concentration Index,http://hdr.undp.org/en/indicators/170006
External Debt Stock,http://hdr.undp.org/en/indicators/127706
"Foreign Direct Investment, Net Inflows",http://hdr.undp.org/en/indicators/53506
Net Official Development Assistance Received,http://hdr.undp.org/en/indicators/99106
Private Capital Flows,http://hdr.undp.org/en/indicators/111306
"Remittances, Inflows",http://hdr.undp.org/en/indicators/52606
Internet Users - UN,http://hdr.undp.org/en/indicators/43606
International Inbound Tourists - UN,http://hdr.undp.org/en/indicators/111106
International Student Mobility,http://hdr.undp.org/en/indicators/147206
Mobile Phone Subscriptions - UN,http://hdr.undp.org/en/indicators/46006
Net Migration Rate - UN,http://hdr.undp.org/en/indicators/110806
Carbon Dioxide Emissions Per Capita,http://hdr.undp.org/en/indicators/27706
Forest Area - UN,http://hdr.undp.org/en/indicators/100806
Fresh Water Withdrawals,http://hdr.undp.org/en/indicators/97106
Natural Resource Depletion - UN,http://hdr.undp.org/en/indicators/97306
Renewable Energy Consumption,http://hdr.undp.org/en/indicators/163906
"Dependency Ratio, Young Age (0-14)",http://hdr.undp.org/en/indicators/121206
Median Age,http://hdr.undp.org/en/indicators/47906
"Dependency Ratio, Old Age (65 And Older)",http://hdr.undp.org/en/indicators/122006
"Population, Ages 15-64",http://hdr.undp.org/en/indicators/63106
"Population, Ages 65 and Older",http://hdr.undp.org/en/indicators/132706
"Population, Under Age 5",http://hdr.undp.org/en/indicators/132806
"Population, Urban",http://hdr.undp.org/en/indicators/45106
Sex Ratio at Birth,http://hdr.undp.org/en/indicators/49006
